layer,head,region_label,n_pairs,comparison,condition_a,condition_b,mean_a,mean_b,mean_delta,sem_delta,ci95_low_delta,ci95_high_delta,paired_t,paired_p,wilcoxon_stat,wilcoxon_p,cohen_d_paired,n_matched
14,4,target_alias,129,suppressed_minus_mentioned,suppressed,mentioned,0.082542051460103,0.014109419749024533,0.06843263171107848,0.0034870704969432913,0.06186583764704897,0.07562021423508448,19.62467686588654,2.0686607154958664e-40,0.0,6.513351079976358e-23,1.7278564532917307,129
12,29,target_alias,129,suppressed_minus_mentioned,suppressed,mentioned,0.08099596685722701,0.022189332641545656,0.05880663421568136,0.002939678200255283,0.05294565831440999,0.06453440905586535,20.004446136510644,3.237380126158147e-41,0.0,6.513351079976358e-23,1.7612932731432918,129
12,6,target_alias,129,suppressed_minus_mentioned,suppressed,mentioned,0.06763559769362558,0.015082468859880238,0.05255312883374534,0.0037573919130482135,0.045169737816394794,0.05962050137156981,13.98659763205569,1.4906980494715772e-27,6.0,7.494390415714496e-23,1.2314512561555255,129
8,14,target_alias,129,suppressed_minus_mentioned,suppressed,mentioned,0.061669669345079,0.009217752492084175,0.05245191685299483,0.00389223482006887,0.04494991476910167,0.06014041963864529,13.476041214817231,2.5754292843360523e-26,11.0,8.42262538341288e-23,1.1864992701267292,129
9,13,target_alias,129,suppressed_minus_mentioned,suppressed,mentioned,0.05733287311700541,0.02517731567888066,0.03215555743812475,0.0021046140100318663,0.028082933023304845,0.03634270426515822,15.278600866881943,1.2247878288150234e-30,19.0,1.0149900639497661e-22,1.3452057980633667,129
15,13,target_alias,129,suppressed_minus_mentioned,suppressed,mentioned,0.04247908425957773,0.013534929641240905,0.028944154618336826,0.0020546540921805006,0.02508497271955721,0.032831573862692545,14.087117986667947,8.528591811706975e-28,21.0,1.0633876319264224e-22,1.240301579887779,129
10,28,target_alias,129,suppressed_minus_mentioned,suppressed,mentioned,0.03354237877128487,0.007151049275723712,0.026391329495561156,0.001723059855767623,0.023145931949044844,0.029559527847274242,15.316548294721787,9.966646067781935e-31,0.0,6.513351079976358e-23,1.3485468827867986,129
11,8,target_alias,129,suppressed_minus_mentioned,suppressed,mentioned,0.03288834451430643,0.009509862285078496,0.023378482229227938,0.0018439234208999264,0.019990225109296975,0.02713834671533753,12.678662228726438,2.2920771222797103e-24,26.0,1.1946056274763425e-22,1.1162939650278645,129
13,19,target_alias,129,suppressed_minus_mentioned,suppressed,mentioned,0.03848493742474983,0.01521854322086009,0.02326639420388974,0.0015141703949222182,0.020454176773800868,0.026257753553673942,15.36577011538052,7.63031726181499e-31,2.0,6.825344900038084e-23,1.3528806224477965,129
12,3,target_alias,129,suppressed_minus_mentioned,suppressed,mentioned,0.03743145553496226,0.018406123023971106,0.01902533251099115,0.0011504433611736868,0.016825397329607097,0.021248276244358034,16.53739171616535,1.4318038479910371e-33,14.0,9.033284151817048e-23,1.4560361524759646,129
