model,model_short,run_dir,pooling,selected_condition,layer,mean_absent,mean_condition,mean_delta,ci95_low_delta,ci95_high_delta,paired_p,cohen_d
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,0,0.2149179176606587,0.6641946131788037,0.4492766955181449,0.3858578172174978,0.5100056308843967,4.14560468061796e-29,1.2363524848792384
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,1,0.1669181779082663,0.6776837094294033,0.5107655315211369,0.4435529710560685,0.5768128645467159,1.4446187389647346e-29,1.2522251405673317
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,2,0.17652877313634,0.6557850577887019,0.4792562846523618,0.4001235131239882,0.5554787540843481,7.51557528373997e-24,1.056706388510419
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,3,0.1357472969401187,0.6263099857480756,0.4905626888079569,0.4162125484135153,0.5636869685910058,1.701334385263954e-25,1.1124878349365248
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,4,0.115673103042342,0.5960980751617664,0.4804249721194243,0.410752184610305,0.5448335405634724,3.312588410192068e-27,1.170850290456525
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,5,0.0991102513503949,0.5896980641434956,0.4905878127931007,0.4228545005263882,0.5579861958303541,3.680153952943961e-28,1.2036175699192642
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,6,0.0962977288716453,0.5616274664963993,0.4653297376247539,0.3959044377634129,0.531948657195182,1.849407459791985e-27,1.179526017033921
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,7,0.1014396565693184,0.4979892833554151,0.3965496267860967,0.32775451748897,0.4621274423096947,4.677762776945128e-22,0.9961077358977496
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,8,0.0914032627030586,0.4854532243872196,0.394049961684161,0.3337813764190154,0.45222636048985,1.378149191587903e-25,1.1155988522060836
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,9,0.1026048062499998,0.433842818397967,0.3312380121479671,0.2734622636734095,0.3907388365015444,1.2090589585972085e-20,0.948445561516688
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,10,0.1104432673655862,0.4056868882466513,0.2952436208810651,0.2323270924536343,0.3589237276906708,6.567764812251734e-16,0.7872604369417798
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,11,0.1237054834712283,0.4011264823483522,0.2774209988771239,0.2155097841768612,0.3396563721391963,4.041325557589735e-15,0.7599004324683061
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,12,0.1518647720991729,0.4409738491766136,0.2891090770774407,0.2275096515285213,0.348043056503592,5.94403696698314e-15,0.7540615263554395
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,13,0.1714755671906871,0.4786403449525667,0.3071647777618795,0.2472463526478267,0.3721101628831873,5.786858828339972e-17,0.8235364429122997
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,14,0.1678792659864381,0.4174134062498313,0.2495341402633932,0.1903366441736842,0.3087062070495423,6.126543658015655e-13,0.6828945468396669
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,15,0.1752761356829063,0.441988338495374,0.2667122028124677,0.2021421551757109,0.3302353363251696,5.212315763243461e-14,0.720980106984293
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,16,0.1715143214650567,0.5015680981142668,0.3300537766492102,0.2727261706508996,0.3888149431249629,4.385768996772148e-21,0.9633102623113986
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,17,0.1611234030088874,0.5208954057114611,0.3597720027025736,0.3020954980229373,0.4172949372640558,1.0890139047145332e-24,1.0851165821783182
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,18,0.1430000269177893,0.5456100905388849,0.4026100636210955,0.3521682966969215,0.4537279181516706,1.5639284386675855e-31,1.3209293015646717
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,19,0.150956531727027,0.5221327811399099,0.3711762494128828,0.3209096690254698,0.4232105201912003,4.4463022247010906e-29,1.2352997832165276
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,20,0.1544968418039319,0.5539230708963586,0.3994262290924265,0.3505131203077956,0.4459332664480464,7.930638302324224e-33,1.3667426294625156
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,21,0.14582208355809,0.5917068453513977,0.4458847617933076,0.3951761211621044,0.4992556393100326,2.3269892888240277e-35,1.4577842901793792
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,22,0.1399304853366201,0.604284597490313,0.4643541121536928,0.4102130624976166,0.5154915367322832,1.019060642059915e-37,1.544501182970604
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,23,0.138277124578938,0.6152296120692284,0.4769524874902904,0.4292548604743285,0.5254038034000963,1.0172995646740756e-39,1.6196862586861545
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,24,0.1234366080219798,0.6088251494106656,0.4853885413886857,0.434064384047573,0.5336064970144667,6.087006804454496e-40,1.6281664130457132
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,25,0.1203580970882824,0.6086062195758588,0.4882481224875763,0.4375423547161803,0.5403984301958786,6.96738644343782e-39,1.5880943530658314
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,26,0.1214050974170145,0.6109884762467556,0.489583378829741,0.4386256523592691,0.539220597558277,1.926199010960755e-38,1.5715093181967807
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,27,0.1266522986359546,0.6151763592154905,0.4885240605795358,0.4347458689265764,0.5413918341821163,2.564505991546844e-37,1.5296240252502449
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,28,0.1298616129093628,0.6063408778022897,0.4764792648929268,0.4204650131566989,0.532508143635297,1.045071308291164e-35,1.4704434893492535
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,29,0.1305589852198023,0.5820398138164068,0.4514808285966045,0.3985512422702422,0.5061096240652077,1.1639077568398264e-33,1.3964823431131836
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,30,0.122540731429122,0.5831854020765044,0.4606446706473822,0.4054324095798444,0.5134305727620728,4.4102783955324085e-34,1.41160209873913
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,31,0.1419464387455542,0.5538195845880933,0.4118731458425391,0.3553631808464136,0.4696537188639149,8.545342071140021e-29,1.2254877204474792
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model/llama_indirect_only/meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,32,0.1405268012091009,0.6366159431744094,0.4960891419653085,0.4448592047209371,0.5480277223094182,2.4004103168076812e-39,1.605556096603047
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,0,0.1682911485458732,0.6942216836122261,0.5259305350663528,0.4554391042086156,0.5910188700132701,7.867244932202703e-32,1.3314453728249682
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,1,0.1539267765642465,0.6783867008033928,0.5244599242391463,0.4524461283446822,0.5979097537330091,8.799178599680162e-27,1.1563333879277746
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,2,0.1626613053383721,0.5596669903889605,0.3970056850505883,0.3077674005908374,0.4886097103925157,5.3877751660418386e-15,0.7555495720721604
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,3,0.1364019213302118,0.5445839529175598,0.408182031587348,0.3156878806522171,0.5035282460778396,1.25756491293301e-14,0.7426881125662632
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,4,0.1128946616172372,0.5249668690129261,0.4120722073956888,0.318798253841451,0.4981608082697946,4.194981779694093e-15,0.7593361690792636
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,5,0.087966120568299,0.5116633907229586,0.4236972701546596,0.3409015300854293,0.5048630253709412,1.0342272791143361e-17,0.8490846174168208
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,6,0.115052706476915,0.4581712658545743,0.3431185593776593,0.2589206341170739,0.4233948355702048,1.1091522363455104e-13,0.709375581983347
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,7,0.1022123505490167,0.4613491945409163,0.3591368439918995,0.2812969812596428,0.4357812768024048,3.709726808066573e-15,0.7611946389566242
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,8,0.0802952289692409,0.4638243311640816,0.3835291021948407,0.3150886050769903,0.4552127204482158,6.143221254003051e-20,0.9245999795850884
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,9,0.0762872974999229,0.473756440243402,0.397469142743479,0.331450550377219,0.4618010414926904,2.0709729721507037e-22,1.008049683199349
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,10,0.0701855637908614,0.4242136342349008,0.3540280704440394,0.2902405699491039,0.4162537203546521,5.712753506228281e-20,0.9256663473289904
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,11,0.0731487862372093,0.4277148761982998,0.3545660899610904,0.2900820323465776,0.4212770030548977,4.728193722177511e-19,0.8946095194278274
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,12,0.0786493908867694,0.4237335521216249,0.3450841612348556,0.27969769786168,0.4123961312881287,1.3188663992804457e-17,0.8454845743055645
