model,model_short,run_dir,layer,condition,mean_absent,mean_suppressed_indirect,mean_mentioned,delta_suppressed_indirect_minus_absent,delta_mentioned_minus_suppressed_indirect,delta_mentioned_minus_absent,n
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,0,suppressed_indirect,0.21491791766065868,0.6641946131788036,0.6745457860149232,0.4492766955181449,0.01035117283611951,0.45962786835426445,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,1,suppressed_indirect,0.1669181779082663,0.6776837094294033,0.7619985719573056,0.510765531521137,0.08431486252790231,0.5950803940490393,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,2,suppressed_indirect,0.17652877313634,0.6557850577887017,0.7672817823275531,0.4792562846523618,0.11149672453885127,0.5907530091912131,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,3,suppressed_indirect,0.13574729694011867,0.6263099857480756,0.7596025340730365,0.49056268880795695,0.13329254832496076,0.6238552371329178,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,4,suppressed_indirect,0.11567310304234205,0.5960980751617664,0.6662153321120615,0.48042497211942436,0.07011725695029514,0.5505422290697195,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,5,suppressed_indirect,0.0991102513503949,0.5896980641434956,0.634099191735977,0.49058781279310076,0.04440112759248136,0.5349889403855821,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,6,suppressed_indirect,0.09629772887164526,0.5616274664963993,0.6618901640834456,0.465329737624754,0.10026269758704631,0.5655924352118004,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,7,suppressed_indirect,0.10143965656931841,0.4979892833554151,0.6799882806795785,0.39654962678609673,0.18199899732416336,0.5785486241102601,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,8,suppressed_indirect,0.09140326270305857,0.4854532243872196,0.6954057435001627,0.39404996168416107,0.20995251911294302,0.604002480797104,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,9,suppressed_indirect,0.10260480624999975,0.4338428183979669,0.6679435998041562,0.33123801214796716,0.2341007814061893,0.5653387935541565,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,10,suppressed_indirect,0.11044326736558617,0.40568688824665133,0.6560137434247805,0.29524362088106515,0.25032685517812914,0.5455704760591944,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,11,suppressed_indirect,0.1237054834712283,0.4011264823483522,0.6885383679949929,0.2774209988771239,0.28741188564664055,0.5648328845237645,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,12,suppressed_indirect,0.1518647720991729,0.44097384917661364,0.7132847584767301,0.28910907707744077,0.27231090930011653,0.5614199863775573,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,13,suppressed_indirect,0.1714755671906871,0.4786403449525666,0.7462774725924062,0.30716477776187956,0.26763712763983966,0.5748019054017192,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,14,suppressed_indirect,0.1678792659864381,0.41741340624983136,0.7427900590498945,0.24953414026339324,0.3253766528000631,0.5749107930634565,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,15,suppressed_indirect,0.17527613568290626,0.44198833849537406,0.8009995322247666,0.26671220281246777,0.35901119372939266,0.6257233965418604,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,16,suppressed_indirect,0.17151432146505668,0.5015680981142668,0.8210812647562828,0.3300537766492102,0.3195131666420159,0.6495669432912261,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,17,suppressed_indirect,0.16112340300888733,0.5208954057114611,0.8387918798407841,0.3597720027025736,0.31789647412932315,0.6776684768318968,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,18,suppressed_indirect,0.1430000269177893,0.5456100905388849,0.8349601044316718,0.4026100636210955,0.2893500138927869,0.6919600775138824,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,19,suppressed_indirect,0.15095653172702703,0.5221327811399099,0.832193692917724,0.3711762494128828,0.31006091177781425,0.681237161190697,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,20,suppressed_indirect,0.15449684180393194,0.5539230708963585,0.8447592386329636,0.39942622909242653,0.29083616773660514,0.6902623968290317,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,21,suppressed_indirect,0.14582208355809,0.5917068453513977,0.8539065775061884,0.44588476179330766,0.26219973215479075,0.7080844939480985,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,22,suppressed_indirect,0.13993048533662014,0.604284597490313,0.8465178417230718,0.4643541121536929,0.2422332442327588,0.7065873563864516,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,23,suppressed_indirect,0.13827712457893804,0.6152296120692284,0.8475917734301772,0.4769524874902904,0.23236216136094864,0.7093146488512392,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,24,suppressed_indirect,0.12343660802197984,0.6088251494106656,0.843013336708344,0.4853885413886857,0.23418818729767843,0.719576728686364,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,25,suppressed_indirect,0.12035809708828239,0.6086062195758588,0.8427716191276549,0.48824812248757643,0.234165399551796,0.7224135220393724,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,26,suppressed_indirect,0.12140509741701454,0.6109884762467555,0.8398425645011197,0.489583378829741,0.2288540882543642,0.7184374670841052,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,27,suppressed_indirect,0.1266522986359546,0.6151763592154904,0.8427605827429839,0.4885240605795359,0.22758422352749347,0.7161082841070292,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,28,suppressed_indirect,0.12986161290936277,0.6063408778022896,0.8372710897899275,0.476479264892927,0.23093021198763772,0.7074094768805645,136
