layer,n_pairs,mean_absent,sem_absent,ci95_low_absent,ci95_high_absent,mean_mentioned,sem_mentioned,ci95_low_mentioned,ci95_high_mentioned,mean_suppressed_indirect,sem_suppressed_indirect,ci95_low_suppressed_indirect,ci95_high_suppressed_indirect,mean_delta_mentioned_minus_absent,sem_delta_mentioned_minus_absent,ci95_low_delta_mentioned_minus_absent,ci95_high_delta_mentioned_minus_absent,paired_t_mentioned_vs_absent,paired_p_mentioned_vs_absent,wilcoxon_stat_mentioned_vs_absent,wilcoxon_p_mentioned_vs_absent,cohen_d_paired_mentioned_vs_absent,mean_delta_suppressed_indirect_minus_absent,sem_delta_suppressed_indirect_minus_absent,ci95_low_delta_suppressed_indirect_minus_absent,ci95_high_delta_suppressed_indirect_minus_absent,paired_t_suppressed_indirect_vs_absent,paired_p_suppressed_indirect_vs_absent,wilcoxon_stat_suppressed_indirect_vs_absent,wilcoxon_p_suppressed_indirect_vs_absent,cohen_d_paired_suppressed_indirect_vs_absent,mean_delta_suppressed_indirect_minus_mentioned,sem_delta_suppressed_indirect_minus_mentioned,ci95_low_delta_suppressed_indirect_minus_mentioned,ci95_high_delta_suppressed_indirect_minus_mentioned,paired_t_suppressed_indirect_vs_mentioned,paired_p_suppressed_indirect_vs_mentioned,wilcoxon_stat_suppressed_indirect_vs_mentioned,wilcoxon_p_suppressed_indirect_vs_mentioned,cohen_d_paired_suppressed_indirect_vs_mentioned
0,136,0.19580245082512387,0.02143820567514375,0.1558082450212126,0.24149918993445377,0.6873880066590772,0.028116675605530467,0.6331004349164004,0.7413709474598912,0.6550882529674704,0.030436048461491023,0.59655239265972,0.7134499471838148,0.49158555583395325,0.03365218362974886,0.42905028962166575,0.5577058366576034,14.607835296589396,1.4080707079169183e-29,521.0,2.557334542328452e-19,1.2526115426799411,0.4592858021423465,0.03658187677049099,0.3827107684780757,0.5287848549632373,12.555009274779266,1.944541750747953e-24,672.0,4.7891685329338626e-18,1.0765831635378598,-0.032299753691606786,0.03938089688058722,-0.11101683923611128,0.04214792483437905,-0.8201883717770002,0.4135545372648024,4267.0,0.3957032920524929,-0.07033057265504679
1,136,0.1808435229149793,0.01953983741241628,0.14346234874105282,0.22047322265902655,0.6942751558969439,0.027910655528856663,0.6369473864385358,0.748109461581899,0.6271419225929965,0.026617932874247924,0.5754312622885849,0.679256355339214,0.5134316329819647,0.03495575519623105,0.4427139346878653,0.5826509280564303,14.68804293026183,8.926336865598534e-30,485.0,1.2519881889729733e-19,1.2594892905261668,0.44629839967801715,0.034289426333710196,0.38033383604086807,0.5134383061048536,13.01562748045329,1.3339015325562104e-25,554.0,4.89575739041349e-19,1.1160808488198481,-0.06713323330394746,0.026609943758406317,-0.11735237463311392,-0.01538440075994757,-2.522862652903559,0.012800705192464458,3329.0,0.003891581495781009,-0.21633368774091835
2,136,0.18042894633216916,0.019975747615702314,0.14492757682029977,0.21975776799821184,0.6978894132159316,0.0280350512142805,0.6403288612061886,0.7493743279866247,0.61043948652568,0.02724828180376551,0.5563301293745196,0.6601448591388738,0.5174604668837623,0.03618166757401714,0.4434700791122452,0.5855783468072508,14.301730726622512,8.061039871518717e-29,527.0,2.8789240362994105e-19,1.2263632923524528,0.430010540193511,0.03594946687929798,0.3564613002755224,0.4995910152699108,11.961527597538275,6.217136849257327e-23,703.0,8.625530350627333e-18,1.0256925295604435,-0.08744992669025144,0.025039469308045716,-0.13305555414546108,-0.03872904557556025,-3.4924832317493206,0.0006473465415007132,3031.0,0.0004091249406964096,-0.29947796643947266
3,136,0.1985854448141086,0.022348844695055933,0.15702263711758732,0.24277989230072733,0.7022198496419425,0.027204468543540698,0.6467992197590677,0.7550532553755775,0.6138813477377727,0.026896453342001338,0.5625174878030444,0.665974301643011,0.503634404827834,0.03836575000778585,0.42676286273007746,0.5776930234626377,13.127187784042475,6.982360302714797e-26,687.0,6.3700730768826794e-18,1.125647065931655,0.41529590292366403,0.03854492600992147,0.3371217608589216,0.4905719097447122,10.774333898494623,6.446982892417877e-20,911.0,3.9811183393517197e-16,0.9238915097223998,-0.08833850190416977,0.024741249419019146,-0.136024298439622,-0.03969002372861703,-3.5704947801165607,0.0004942588383056919,3082.0,0.0006185533070288805,-0.30616740152435173
4,136,0.16059274954305855,0.020367160517740457,0.12383361920869126,0.20197199148112407,0.7102756749526837,0.026387820212424248,0.6576053520767717,0.7591013806163587,0.5950584532514336,0.02729458023057339,0.5402770296277113,0.6468759426137832,0.549682925409625,0.03579146105649792,0.4803608807257659,0.6198897827277516,15.357934802994873,2.0314977150069305e-31,427.0,3.9113915276627663e-20,1.3169320447122579,0.434465703708375,0.03754795496447077,0.35695511525235046,0.5040002349288448,11.570955172378422,6.10676491855715e-22,801.0,5.380076005049511e-17,0.9922012204051467,-0.11521722170125011,0.026221626556499535,-0.16622275981303972,-0.06784558243374685,-4.3939769126447,2.23305656255365e-05,3002.0,0.00032176041450365155,-0.3767804118337076
5,136,0.133604686934757,0.018688650775558778,0.10000103340931672,0.17349986263620007,0.6738175518475952,0.028572634067410268,0.6182739997099099,0.7279271493800833,0.5496402142234555,0.030968545689923237,0.4893759094224808,0.6083118649033602,0.5402128649128382,0.03579310179621799,0.46716623431370224,0.6086651577254277,15.092652991865565,9.038874783945073e-31,478.0,1.088882842214703e-19,1.2941843170758986,0.4160355272886985,0.038730740001434616,0.3387614756766211,0.48887849435380837,10.741739694962922,7.798952033067292e-20,925.0,5.115384763452124e-16,0.9210965798276328,-0.12417733762413959,0.028724509663535406,-0.18096941957521415,-0.06525574224626408,-4.323044643013617,2.9662240521505522e-05,3001.0,0.000319084872011131,-0.37069801989236867
6,136,0.13510793221697023,0.019378072076345752,0.09967946798163684,0.17318624404057864,0.6869291203936596,0.027136230854427915,0.6325054834836059,0.7411598691188439,0.5455188289477316,0.03249703454029586,0.48125948529423695,0.6121556848279152,0.5518211881766895,0.034091530727144395,0.4812326803988068,0.620650042178227,16.18645969854671,2.0121280367337426e-33,387.0,1.7373935787655094e-20,1.3879774683835,0.41041089673076137,0.04058479830096753,0.32456445042044624,0.4924270134837178,10.112429133865557,3.0504187385975553e-18,1073.0,6.848722973301397e-15,0.8671336444059144,-0.1414102914459281,0.029552377907568775,-0.20079640370815496,-0.08308360396849734,-4.785073197433325,4.421209498756165e-06,2844.0,8.137191431291366e-05,-0.4103166415815781
7,136,0.11600723613832394,0.017448870143749896,0.0822808844745178,0.15354870792070574,0.6643943238945577,0.028226772451830296,0.6068291847637205,0.7194102384872599,0.5194608770453099,0.031932468977714915,0.4576557394624966,0.5808704258842556,0.5483870877562336,0.03238588753484806,0.48530805761041296,0.6105846228789389,16.93290286289529,3.360815864866702e-35,326.0,4.9681400478128006e-21,1.45198444167104,0.4034536409069858,0.03672815641204692,0.33282440476787395,0.4730638270356031,10.984859582406159,1.883677537391341e-20,913.0,4.1265076235992534e-16,0.9419439381858933,-0.14493344684924778,0.0268585025899451,-0.19823125893403704,-0.095009169496143,-5.396184927431728,2.9659527212381176e-07,2209.0,1.0396506811372447e-07,-0.4627190401109365
8,136,0.10754998066536402,0.01780138100125873,0.07581190317701147,0.14420697477819588,0.5674671056934416,0.029904855871708037,0.5092872161163032,0.6251688264400295,0.4922806380219928,0.030730778986786084,0.43337997399632155,0.5532241675572875,0.4599171250280777,0.0319662416854827,0.39679719528065366,0.5247072523147994,14.387588304975706,4.9372825155165887e-29,435.0,4.596516312900725e-20,1.23372551895812,0.3847306573566287,0.033854587230973426,0.31764179264075576,0.45429915095305795,11.364210549424163,2.0475468052592923e-21,824.0,8.21403091833639e-17,0.9744730152439083,-0.07518646767144889,0.02244064424600703,-0.12113822360360157,-0.03209965958694614,-3.350459409596816,0.0010463929005614788,2789.0,4.911629744752261e-05,-0.2872995241616297
9,136,0.1015553714070279,0.01770929291782012,0.0688501802003382,0.13720648085892423,0.5429670997364177,0.031178477620140206,0.48347931275219475,0.6046007386051334,0.48248326765695626,0.03075839782579856,0.42190382821029965,0.545690731359115,0.4414117283293897,0.03241578252885382,0.3806450792890214,0.504553664257878,13.617185639016487,4.104070728315367e-27,513.0,2.183151640511614e-19,1.1676640353571086,0.3809278962499284,0.03354172268174224,0.31740022008993335,0.4477348388669759,11.35683756807395,2.1378207169218367e-21,757.0,2.3782173531404447e-17,0.9738407873089865,-0.06048383207946132,0.023386206556217162,-0.10668479410779062,-0.01572413542585643,-2.5863036800802504,0.010760209924184763,3405.0,0.006494045000108272,-0.22177371094131337
