concept,layer,probe_accuracy_mean,probe_accuracy_std,probe_auc_mean,probe_auc_std,probe_f1_mean,probe_f1_std,n_positive,n_negative
alcohol,0,0.4920634920634921,0.054985739922821526,0.4753086419753087,0.01414375214492544,0.5126262626262627,0.06531574321402811,24,34
alcohol,1,0.38095238095238093,0.08247860988423224,0.4598765432098766,0.07426672478713564,0.3800865800865801,0.08615914990127746,24,34
alcohol,2,0.41269841269841273,0.0727392967453308,0.4567901234567901,0.07426672478713561,0.4072463768115942,0.1110470304608146,24,34
alcohol,3,0.5873015873015873,0.09912695235553012,0.5987654320987654,0.09134968263548608,0.6139130434782608,0.0998600154431693,24,34
alcohol,4,0.5873015873015873,0.09912695235553012,0.6666666666666666,0.10185185185185179,0.5909822866344605,0.09221023061011538,24,34
alcohol,5,0.6666666666666666,0.14285714285714288,0.8209876543209876,0.09900626501447808,0.6637022397891963,0.10594956093203166,24,34
alcohol,6,0.7301587301587302,0.11983864182969438,0.8364197530864198,0.09366661052773771,0.7290552584670231,0.09359561920017875,24,34
alcohol,7,0.7619047619047619,0.12598815766974245,0.8919753086419754,0.0565750085797017,0.7609427609427609,0.11487354955711769,24,34
alcohol,8,0.7619047619047619,0.09523809523809523,0.8950617283950617,0.06698313090805773,0.7507002801120448,0.07902933321941674,24,34
alcohol,9,0.7301587301587301,0.14547859349066158,0.8734567901234568,0.07484170156161818,0.7313766086144602,0.11062261148818422,24,34
alcohol,10,0.7301587301587301,0.14547859349066158,0.8518518518518517,0.08072035080630874,0.7418113912231559,0.09340004766961336,24,34
alcohol,11,0.7619047619047619,0.14285714285714288,0.8611111111111112,0.08929306260178663,0.7678571428571428,0.1042941396900907,24,34
alcohol,12,0.6984126984126985,0.15307382160306277,0.8271604938271605,0.11428091717020752,0.7076719576719577,0.1079724885563096,24,34
alcohol,13,0.746031746031746,0.2147261787058521,0.8425925925925926,0.11264375056107817,0.7621381886087768,0.178921682828346,24,34
alcohol,14,0.7619047619047619,0.19047619047619047,0.8549382716049383,0.1096873805180053,0.7705922948889702,0.16641057230650386,24,34
alcohol,15,0.746031746031746,0.16723259925163078,0.8641975308641975,0.11046623560600792,0.7531631009891879,0.1403010155055043,24,34
alcohol,16,0.746031746031746,0.16723259925163078,0.8487654320987654,0.11502867378755696,0.7531631009891879,0.1403010155055043,24,34
alcohol,17,0.6825396825396824,0.13746434980705372,0.8024691358024691,0.11046623560600788,0.6706349206349206,0.08935182737458493,24,34
alcohol,18,0.6666666666666666,0.1649572197684645,0.8024691358024691,0.10199204717196486,0.6631754150935737,0.12564949080709692,24,34
alcohol,19,0.6507936507936508,0.1530738216030628,0.7962962962962963,0.09119312779440839,0.6362146307798482,0.12047492931099699,24,34
alcohol,20,0.6984126984126985,0.11983864182969446,0.7901234567901235,0.12973981208014634,0.6778985507246377,0.10605673423157257,24,34
alcohol,21,0.7142857142857143,0.12598815766974242,0.8209876543209876,0.11162432913595755,0.6917874396135266,0.09809499630142653,24,34
alcohol,22,0.7301587301587301,0.054985739922821485,0.8240740740740741,0.09755234956345132,0.6984126984126983,0.054985739922821464,24,34
alcohol,23,0.7301587301587301,0.054985739922821485,0.8333333333333334,0.10678298698769256,0.6867167919799498,0.06743671201540706,24,34
alcohol,24,0.7142857142857143,0.08247860988423221,0.8148148148148149,0.10185185185185186,0.6761904761904761,0.08137146424111937,24,34
alcohol,25,0.7142857142857143,0.08247860988423221,0.8179012345679012,0.10731690525131922,0.6761904761904761,0.08137146424111937,24,34
alcohol,26,0.6984126984126983,0.109971479845643,0.8179012345679012,0.1165097906677585,0.6516290726817042,0.11851218463696125,24,34
alcohol,27,0.6984126984126983,0.109971479845643,0.8117283950617283,0.11577160082414233,0.6516290726817042,0.11851218463696125,24,34
alcohol,28,0.6825396825396824,0.13746434980705372,0.8055555555555557,0.12143404674633337,0.6428571428571428,0.13256581816261956,24,34
alcohol,29,0.7301587301587301,0.054985739922821485,0.8148148148148149,0.12143404674633332,0.6867167919799498,0.06743671201540706,24,34
