layer,n_pairs,mean_absent,sem_absent,ci95_low_absent,ci95_high_absent,mean_mentioned,sem_mentioned,ci95_low_mentioned,ci95_high_mentioned,mean_suppressed_indirect,sem_suppressed_indirect,ci95_low_suppressed_indirect,ci95_high_suppressed_indirect,mean_delta_mentioned_minus_absent,sem_delta_mentioned_minus_absent,ci95_low_delta_mentioned_minus_absent,ci95_high_delta_mentioned_minus_absent,paired_t_mentioned_vs_absent,paired_p_mentioned_vs_absent,wilcoxon_stat_mentioned_vs_absent,wilcoxon_p_mentioned_vs_absent,cohen_d_paired_mentioned_vs_absent,mean_delta_suppressed_indirect_minus_absent,sem_delta_suppressed_indirect_minus_absent,ci95_low_delta_suppressed_indirect_minus_absent,ci95_high_delta_suppressed_indirect_minus_absent,paired_t_suppressed_indirect_vs_absent,paired_p_suppressed_indirect_vs_absent,wilcoxon_stat_suppressed_indirect_vs_absent,wilcoxon_p_suppressed_indirect_vs_absent,cohen_d_paired_suppressed_indirect_vs_absent,mean_delta_suppressed_indirect_minus_mentioned,sem_delta_suppressed_indirect_minus_mentioned,ci95_low_delta_suppressed_indirect_minus_mentioned,ci95_high_delta_suppressed_indirect_minus_mentioned,paired_t_suppressed_indirect_vs_mentioned,paired_p_suppressed_indirect_vs_mentioned,wilcoxon_stat_suppressed_indirect_vs_mentioned,wilcoxon_p_suppressed_indirect_vs_mentioned,cohen_d_paired_suppressed_indirect_vs_mentioned
0,136,0.2149179176606587,0.01881170288173045,0.17960398469649233,0.2549229837660214,0.6745457860149232,0.023160921293349224,0.6268938375769458,0.718972641273467,0.6641946131788037,0.026628749787130708,0.6102045513535802,0.7133249276359911,0.45962786835426445,0.027521934457877092,0.4085531746526307,0.5129503371170135,16.700420134265443,1.1939125793387083e-34,149.0,1.1908261829041637e-22,1.4320492121559953,0.4492766955181449,0.03116033597262901,0.38585781721749784,0.5100056308843967,14.418223728806584,4.14560468061796e-29,503.0,1.79069676039514e-19,1.2363524848792384,-0.01035117283611951,0.026460662460112465,-0.06438002109899722,0.03874422178971337,-0.39119099348790504,0.6962727832768397,4390.0,0.5604706577589906,-0.03354435095183405
1,136,0.16691817790826632,0.01791668435643953,0.1337325070670776,0.20330287281443488,0.7619985719573057,0.02331406864810049,0.7147446580478821,0.8057522039252368,0.6776837094294033,0.028816799712618153,0.6226368644154894,0.7344433217478793,0.5950803940490392,0.02826235994586256,0.538032314207031,0.6481742968255515,21.055580467764702,1.7499349311218248e-44,32.0,9.329933726848204e-24,1.8055011297879455,0.5107655315211369,0.03497596524685271,0.4435529710560685,0.5768128645467159,14.60332911232801,1.4446187389647343e-29,473.0,9.854192360152695e-20,1.2522251405673315,-0.08431486252790231,0.02535907286742607,-0.13184938560632192,-0.033974843036750406,-3.324840106288169,0.001139337596737412,3261.0,0.002409134153996265,-0.28510268702674485
2,136,0.17652877313634002,0.01918910115831897,0.1429819477721408,0.21433365698774312,0.7672817823275531,0.02444893058990775,0.7168386341792491,0.8134686812856776,0.6557850577887019,0.02915465090644055,0.5981208348799316,0.7099084242258749,0.5907530091912131,0.03352804682700132,0.5196487111690533,0.6534457543945874,17.619666670098386,8.249523242418936e-37,328.0,5.1777348933418504e-21,1.5108739523022463,0.4792562846523618,0.03889054501430466,0.40012351312398825,0.5554787540843481,12.323208236759925,7.51557528373997e-24,754.0,2.2487231125752052e-17,1.056706388510419,-0.11149672453885127,0.025475295416329008,-0.16214138444870815,-0.06374800101949905,-4.376660710571574,2.39400411028386e-05,3108.0,0.0007602671118594668,-0.37529555975591616
3,136,0.13574729694011872,0.01740167855621794,0.10322241524356636,0.17011121907066787,0.7596025340730366,0.02345561131869144,0.7138863609314551,0.8046975269858662,0.6263099857480756,0.03131955577118393,0.5662005876666034,0.685090870587232,0.6238552371329178,0.027410341146147457,0.571373185771712,0.6764969623564091,22.75984942349399,4.74072350934232e-48,31.0,9.12653818848476e-24,1.9516409870928824,0.49056268880795695,0.03781201214621359,0.4162125484135153,0.5636869685910058,12.973726098230951,1.701334385263954e-25,673.0,4.881274593439964e-18,1.1124878349365248,-0.13329254832496076,0.027710763446555254,-0.1873396916084841,-0.07919964817078835,-4.810136270046738,3.973298309185054e-06,2943.0,0.00019510011388620336,-0.41246578232784015
4,136,0.11567310304234209,0.017206975278170944,0.08485669064236884,0.15041451498866962,0.6662153321120615,0.02724339532174705,0.6133340454797777,0.7191337811066971,0.5960980751617664,0.02984868307347743,0.5349215274919162,0.653619839377505,0.5505422290697195,0.029155334377918517,0.4931020620344305,0.6058146918517973,18.883070313427297,1.0471124733546794e-39,160.0,1.507994676238232e-22,1.6192099209496462,0.48042497211942436,0.035184772834401,0.410752184610305,0.5448335405634724,13.654343439435287,3.312588410192068e-27,490.0,1.3830529156783458e-19,1.170850290456525,-0.07011725695029514,0.026737459705076554,-0.124143136772018,-0.02100810632635511,-2.6224352546469554,0.009733478154021445,3851.0,0.07961158389732934,-0.22487196789989383
5,136,0.09911025135039493,0.01712278351055782,0.069096804363692,0.1340443800428088,0.6340991917359771,0.027830016918768023,0.5803306402958966,0.6861072874789573,0.5896980641434956,0.03040123470607152,0.5291667665876933,0.6475882357168093,0.5349889403855821,0.029322169042674612,0.47651670310568156,0.587818301957613,18.24520347069056,2.962099859308051e-38,156.0,1.3840022098654053e-22,1.5645132904303112,0.49058781279310076,0.034950933703891664,0.4228545005263882,0.5579861958303541,14.036472299979659,3.680153952943961e-28,428.0,3.9911731803723914e-20,1.2036175699192642,-0.04440112759248136,0.02827298175444904,-0.10038168383866794,0.012954375758258386,-1.5704437536198101,0.1186527912857829,3990.0,0.14677650206465157,-0.1346644408958441
6,136,0.09629772887164532,0.01501421803392377,0.06854068985640446,0.12749472793453054,0.6618901640834456,0.025406416462047336,0.6123818807221226,0.7133680764798096,0.5616274664963993,0.02969495072345867,0.5039112827766798,0.6201605994863549,0.5655924352118004,0.026388490319259654,0.5143398147427684,0.6174314109571717,21.43330021418476,2.7470762572924404e-45,27.0,8.355950173921272e-24,1.837890330833659,0.4653297376247539,0.03382858473442436,0.3959044377634129,0.531948657195182,13.755518928086545,1.8494074597919846e-27,502.0,1.7555157144703552e-19,1.179526017033921,-0.10026269758704631,0.028300135439321753,-0.15479823016231553,-0.04464134663100492,-3.542834549397098,0.0005441448160654886,3053.0,0.0004896803020720365,-0.30379555630780003
7,136,0.10143965656931847,0.01678409182090128,0.07087132709203721,0.13726597877369862,0.6799882806795785,0.02578099111726274,0.6266306216838634,0.7289810716804377,0.4979892833554151,0.02952563726716733,0.4417206587184219,0.5543155210408688,0.5785486241102601,0.026639299539318116,0.5267438475686901,0.630485990421999,21.71786173492868,6.889293374697155e-46,20.0,7.159369495618206e-24,1.8622912799304503,0.3965496267860967,0.03413671909259547,0.32775451748897,0.46212744230969477,11.61651258020609,4.677762776945128e-22,756.0,2.3342554409452847e-17,0.9961077358977495,-0.18199899732416336,0.03038874623989194,-0.24331065558032142,-0.12519722780442016,-5.989026196982404,1.8054407064744457e-08,1872.0,1.433465153279631e-09,-0.5135547595819513
8,136,0.09140326270305861,0.015900504315356855,0.06178199314453998,0.12389810126005582,0.6954057435001627,0.024837451532207816,0.6466541824101266,0.7436485618081369,0.4854532243872196,0.02752071053503903,0.4318419553418369,0.5407073385554035,0.604002480797104,0.025854321785004755,0.5519247819468486,0.6563142543245053,23.361760784899776,2.838604248355176e-49,9.0,5.613036171131679e-24,2.003254460524029,0.39404996168416107,0.03028822177911744,0.3337813764190154,0.45222636048985004,13.010006482316609,1.378149191587903e-25,491.0,1.4108486664984502e-19,1.1155988522060836,-0.209952519112943,0.030662529269180856,-0.27026653128802325,-0.1497441164466835,-6.847201588290627,2.415620204320199e-10,1717.0,1.6767096927929995e-10,-0.5871426922886909
9,136,0.1026048062499998,0.017330758739831847,0.07045420686176511,0.1392610536001264,0.6679435998041562,0.025365986920326586,0.6191592242898627,0.7156075657354545,0.433842818397967,0.027509089798038032,0.38061470721370116,0.4872814336408206,0.5653387935541565,0.02595371338858609,0.5123035458241646,0.6181993488397288,21.782578280408263,5.037020125073019e-46,6.0,5.252114985568529e-24,1.8678406779229801,0.3312380121479671,0.029947343703075564,0.2734622636734095,0.39073883650154445,11.060680888166695,1.2090589585972086e-20,712.0,1.0223661309981378e-17,0.9484455615166881,-0.2341007814061893,0.031830848524964005,-0.2990639806068601,-0.1701114676061369,-7.35452531912842,1.669982532480475e-11,1611.0,3.625837273281268e-11,-0.6306453433126412
