concept,layer,probe_accuracy_mean,probe_accuracy_std,probe_auc_mean,probe_auc_std,probe_f1_mean,probe_f1_std,n_positive,n_negative
alcohol,0,0.38095238095238093,0.047619047619047616,0.38271604938271603,0.03854937036048395,0.38152958152958155,0.01818868831929435,24,34
alcohol,1,0.4603174603174603,0.027492869961410742,0.4012345679012346,0.05581216456797878,0.4657790721863948,0.051274636877687005,24,34
alcohol,2,0.42857142857142855,0.0476190476190476,0.4660493827160494,0.0466039162671034,0.38567774936061383,0.14375858751835613,24,34
alcohol,3,0.5714285714285714,0.0,0.6049382716049383,0.05099602358598243,0.5792481203007519,0.05724407339778706,24,34
alcohol,4,0.6031746031746031,0.0549857399228215,0.5987654320987654,0.09813650059002871,0.6267581998474446,0.016199390519396353,24,34
alcohol,5,0.6825396825396824,0.09912695235553014,0.7283950617283951,0.08350462505227585,0.6881926683716966,0.07229400655493311,24,34
alcohol,6,0.6666666666666666,0.04761904761904766,0.7530864197530865,0.07874907914921653,0.6349206349206349,0.0549857399228215,24,34
alcohol,7,0.6666666666666666,0.09523809523809523,0.7561728395061729,0.07709874072096792,0.6526984126984127,0.07526421085834893,24,34
alcohol,8,0.6984126984126985,0.07273929674533075,0.8271604938271605,0.08603308558497752,0.6843434343434343,0.058844344432985037,24,34
alcohol,9,0.7142857142857143,0.09523809523809523,0.8611111111111112,0.04899539464934428,0.712121212121212,0.06560798513518476,24,34
alcohol,10,0.7619047619047619,0.08247860988423228,0.8796296296296297,0.03207501495497924,0.7449494949494949,0.07588373333998348,24,34
alcohol,11,0.7619047619047619,0.08247860988423228,0.9012345679012346,0.01927468518024186,0.7546113306982872,0.061394842692728276,24,34
alcohol,12,0.7777777777777778,0.054985739922821485,0.8796296296296297,0.01603750747748954,0.7651515151515151,0.04731059089695754,24,34
alcohol,13,0.7777777777777778,0.054985739922821485,0.8611111111111112,0.04036017540315438,0.7651515151515151,0.04731059089695754,24,34
alcohol,14,0.7777777777777778,0.054985739922821485,0.8796296296296298,0.018518518518518504,0.7651515151515151,0.04731059089695754,24,34
alcohol,15,0.7777777777777777,0.027492869961410787,0.9166666666666666,0.01603750747748965,0.7489177489177489,0.07658790481798335,24,34
alcohol,16,0.7936507936507936,0.027492869961410787,0.9074074074074074,0.03338473403207391,0.7766955266955268,0.03641792312813061,24,34
alcohol,17,0.6984126984126985,0.027492869961410787,0.8425925925925926,0.024497697324672246,0.7041062801932366,0.042305023884388906,24,34
alcohol,18,0.6666666666666666,0.047619047619047644,0.8302469135802469,0.038549370360483934,0.6398989898989899,0.10837658951349252,24,34
alcohol,19,0.7142857142857143,0.0,0.8580246913580246,0.021383343303319504,0.7007575757575758,0.06658483269411723,24,34
alcohol,20,0.7301587301587302,0.027492869961410732,0.8549382716049383,0.06825106292437039,0.7146464646464646,0.04307758108391917,24,34
alcohol,21,0.6507936507936508,0.027492869961410718,0.7654320987654321,0.10241148162368562,0.6400837014647757,0.05380497820380739,24,34
alcohol,22,0.6349206349206349,0.05498573992282151,0.7469135802469135,0.10199204717196486,0.618438679819754,0.06739480124206695,24,34
alcohol,23,0.6349206349206349,0.05498573992282151,0.7376543209876543,0.11123963759839567,0.618438679819754,0.06739480124206695,24,34
alcohol,24,0.6190476190476191,0.12598815766974242,0.7129629629629629,0.1160181859827932,0.5805682684973302,0.14258983566779143,24,34
alcohol,25,0.6190476190476191,0.09523809523809523,0.7037037037037037,0.11111111111111116,0.5686026936026937,0.10767421317744863,24,34
alcohol,26,0.5873015873015873,0.11983864182969449,0.691358024691358,0.12048902034532798,0.5515827612509535,0.1133359784166156,24,34
alcohol,27,0.5873015873015873,0.11983864182969449,0.6697530864197532,0.1297398120801463,0.5515827612509535,0.1133359784166156,24,34
alcohol,28,0.5714285714285714,0.14285714285714288,0.6604938271604938,0.1441394373930323,0.5445652173913044,0.12546228317329003,24,34
alcohol,29,0.5873015873015873,0.11983864182969449,0.6666666666666666,0.12525693757841372,0.5515827612509535,0.1133359784166156,24,34
alcohol,30,0.5873015873015873,0.11983864182969449,0.6358024691358025,0.1297398120801463,0.5515827612509535,0.1133359784166156,24,34
alcohol,31,0.6031746031746031,0.0991269523555301,0.6265432098765432,0.1277419881887338,0.5593800322061192,0.09987041574009659,24,34
alcohol,32,0.5714285714285714,0.12598815766974242,0.5925925925925926,0.1469861839480328,0.5415329768270944,0.12491105627201667,24,34
bomb,0,0.7619047619047619,0.12598815766974245,0.8549382716049383,0.1120076994544695,0.7305555555555555,0.14821468413282338,24,34
bomb,1,0.6984126984126983,0.14547859349066158,0.8271604938271605,0.14143752144925434,0.6716791979949873,0.16901970225651491,24,34
bomb,2,0.8095238095238094,0.12598815766974236,0.8672839506172839,0.11046623560600788,0.7697368421052632,0.16368230663979902,24,34
bomb,3,0.8095238095238094,0.12598815766974236,0.9012345679012346,0.08751510418986314,0.7697368421052632,0.16368230663979902,24,34
bomb,4,0.8253968253968255,0.07273929674533083,0.9320987654320988,0.0694958657357883,0.7945533769063181,0.09814010785354073,24,34
bomb,5,0.8253968253968255,0.11983864182969445,0.9320987654320988,0.08751510418986314,0.7833820662768032,0.1612572657593354,24,34
bomb,6,0.8095238095238096,0.09523809523809523,0.9537037037037037,0.05155337372990762,0.7548701298701298,0.16138519284271954,24,34
bomb,7,0.8888888888888888,0.07273929674533076,0.9845679012345679,0.026729179129149325,0.8657894736842104,0.10303564184448367,24,34
bomb,8,0.9047619047619048,0.0,0.9907407407407408,0.00925925925925919,0.887962962962963,0.012525693757841383,24,34
bomb,9,0.9047619047619048,0.0,0.9845679012345679,0.01414375214492541,0.887962962962963,0.012525693757841383,24,34
bomb,10,0.9047619047619048,0.0476190476190476,0.9753086419753085,0.023301958133551726,0.888157894736842,0.053851005078108236,24,34
bomb,11,0.873015873015873,0.027492869961410763,0.9660493827160493,0.03251744985448381,0.8552115583075336,0.03988444490869923,24,34
bomb,12,0.9047619047619048,0.04761904761904759,0.9629629629629629,0.03338473403207401,0.8944272445820434,0.049770149061838936,24,34
bomb,13,0.8888888888888888,0.0549857399228215,0.9660493827160493,0.02976435420059556,0.8710010319917441,0.06678509674866225,24,34
bomb,14,0.9206349206349206,0.054985739922821485,0.9753086419753086,0.02330195813355171,0.9102167182662538,0.05906744281219478,24,34
