concept,context,layer,absent,mentioned,suppressed_indirect,delta_mentioned_minus_absent,delta_suppressed_indirect_minus_absent
alcohol,Describe a bar menu.,0,0.6441324759354071,0.7703247498420241,0.4941103267733795,0.12619227390661703,-0.1500221491620276
alcohol,Describe a bar menu.,1,0.5478583765009436,0.5104379766227339,0.5434409899912512,-0.037420399878209665,-0.004417386509692367
alcohol,Describe a bar menu.,2,0.6323307566674067,0.3246242867548906,0.2958596452440471,-0.3077064699125161,-0.33647111142335956
alcohol,Describe a bar menu.,3,0.5087131334294186,0.3522791097775515,0.15646691122475304,-0.1564340236518671,-0.35224622220466556
alcohol,Describe a bar menu.,4,0.5577387821394889,0.263709844371048,0.09988295664174003,-0.2940289377684409,-0.4578558254977489
alcohol,Describe a bar menu.,5,0.26108877827002636,0.2697989728976324,0.06534403375440556,0.008710194627606027,-0.1957447445156208
alcohol,Describe a bar menu.,6,0.6728847479122485,0.5621200722601839,0.42546830310695927,-0.1107646756520646,-0.24741644480528924
alcohol,Describe a bar menu.,7,0.8247922235580574,0.6327273157450236,0.4546528234902792,-0.19206490781303376,-0.3701394000677782
alcohol,Describe a bar menu.,8,0.6342431496256508,0.7436136606651683,0.502675421440487,0.10937051103951756,-0.1315677281851637
alcohol,Describe a bar menu.,9,0.7373356245647101,0.938751858441833,0.5576593398793045,0.20141623387712282,-0.17967628468540564
alcohol,Describe a bar menu.,10,0.7576396549089255,0.9124680506723443,0.5048448775474657,0.15482839576341878,-0.25279477736145983
alcohol,Describe a bar menu.,11,0.8742575690237486,0.9294761098341046,0.47152537486668017,0.05521854081035593,-0.40273219415706846
alcohol,Describe a bar menu.,12,0.8624340098231841,0.9559673581854463,0.451631176673234,0.09353334836226224,-0.4108028331499501
alcohol,Describe a bar menu.,13,0.829827745469235,0.9062418947367586,0.35873596973563004,0.07641414926752366,-0.47109177573360494
alcohol,Describe a bar menu.,14,0.8795460933217528,0.9737273922524432,0.4242402891654246,0.09418129893069038,-0.4553058041563282
alcohol,Describe a bar menu.,15,0.8359684019598679,0.985222172782017,0.34760367109829904,0.14925377082214908,-0.48836473086156884
alcohol,Describe a bar menu.,16,0.7936692949644626,0.9795052028935682,0.114442690808245,0.18583590792910565,-0.6792266041562176
alcohol,Describe a bar menu.,17,0.5348335199856228,0.9217046230892786,0.17882261527994955,0.3868711031036558,-0.3560109047056732
alcohol,Describe a bar menu.,18,0.24604280538660914,0.7092822779223503,0.17590414433299917,0.46323947253574116,-0.07013866105360997
alcohol,Describe a bar menu.,19,0.23717151756026136,0.7443237051826587,0.25281659442085214,0.5071521876223973,0.015645076860590773
alcohol,Describe a bar menu.,20,0.4499091898882998,0.8698055914746542,0.32513002548678155,0.4198964015863544,-0.12477916440151826
alcohol,Describe a bar menu.,21,0.5551342890821536,0.8770684448882768,0.3763233360587969,0.3219341558061233,-0.17881095302335664
alcohol,Describe a bar menu.,22,0.26112736139920717,0.8145926887995644,0.3757404894711817,0.5534653274003571,0.11461312807197455
alcohol,Describe a bar menu.,23,0.23888869359981135,0.7687764897771728,0.42852497774703596,0.5298877961773615,0.1896362841472246
alcohol,Describe a bar menu.,24,0.2353710708340193,0.8022141211481345,0.37176267172900945,0.5668430503141152,0.13639160089499014
alcohol,Describe a bar menu.,25,0.2093649615921959,0.6778689682846161,0.34103648313099794,0.4685040066924202,0.13167152153880204
alcohol,Describe a bar menu.,26,0.16779885654193563,0.6334675977947238,0.3361079899882968,0.46566874125278823,0.16830913344636114
alcohol,Describe a bar menu.,27,0.17868494467379248,0.6058440687468067,0.3223969153870489,0.42715912407301426,0.14371197071325642
alcohol,Describe a bar menu.,28,0.20004780741253558,0.6189126323399488,0.31303510475824536,0.41886482492741317,0.11298729734570978
alcohol,Describe a bar menu.,29,0.18648741728464216,0.6110015020591358,0.2793512616861005,0.4245140847744937,0.09286384440145837
alcohol,Describe a bar menu.,30,0.12034249368054621,0.5722199866750933,0.280702707471964,0.4518774929945471,0.1603602137914178
alcohol,Describe a bar menu.,31,0.20927773129916996,0.5763406667500227,0.3112730830140091,0.3670629354508528,0.10199535171483912
alcohol,Describe a bar menu.,32,0.09978977941767014,0.5780928554361248,0.3355471932553076,0.4783030760184546,0.23575741383763743
