layer,n_pairs,mean_absent,sem_absent,ci95_low_absent,ci95_high_absent,mean_mentioned,sem_mentioned,ci95_low_mentioned,ci95_high_mentioned,mean_suppressed_indirect,sem_suppressed_indirect,ci95_low_suppressed_indirect,ci95_high_suppressed_indirect,mean_delta_mentioned_minus_absent,sem_delta_mentioned_minus_absent,ci95_low_delta_mentioned_minus_absent,ci95_high_delta_mentioned_minus_absent,paired_t_mentioned_vs_absent,paired_p_mentioned_vs_absent,wilcoxon_stat_mentioned_vs_absent,wilcoxon_p_mentioned_vs_absent,cohen_d_paired_mentioned_vs_absent,mean_delta_suppressed_indirect_minus_absent,sem_delta_suppressed_indirect_minus_absent,ci95_low_delta_suppressed_indirect_minus_absent,ci95_high_delta_suppressed_indirect_minus_absent,paired_t_suppressed_indirect_vs_absent,paired_p_suppressed_indirect_vs_absent,wilcoxon_stat_suppressed_indirect_vs_absent,wilcoxon_p_suppressed_indirect_vs_absent,cohen_d_paired_suppressed_indirect_vs_absent,mean_delta_suppressed_indirect_minus_mentioned,sem_delta_suppressed_indirect_minus_mentioned,ci95_low_delta_suppressed_indirect_minus_mentioned,ci95_high_delta_suppressed_indirect_minus_mentioned,paired_t_suppressed_indirect_vs_mentioned,paired_p_suppressed_indirect_vs_mentioned,wilcoxon_stat_suppressed_indirect_vs_mentioned,wilcoxon_p_suppressed_indirect_vs_mentioned,cohen_d_paired_suppressed_indirect_vs_mentioned
0,136,0.16829114854587326,0.018577023270585236,0.13364441354623888,0.20798727369328068,0.6549171072306369,0.025793602516911558,0.602236849419574,0.7064217437708613,0.6942216836122261,0.02794466893414326,0.6381924271494601,0.7469716156802744,0.48662595868476355,0.03020723296992753,0.4272705624782745,0.5457500023317349,16.109584057871785,3.0778780902392805e-33,262.0,1.311112899060565e-21,1.3813854365796636,0.5259305350663528,0.033871589660396585,0.45543910420861566,0.5910188700132701,15.527187839113514,7.867244932202704e-32,414.0,3.007088534481319e-20,1.3314453728249682,0.03930457638158917,0.023256287612435624,-0.007613589531900119,0.08187827145611716,1.6900623623424829,0.09332390411855981,3975.0,0.13791648530113243,0.14492165197217097
1,136,0.15392677656424655,0.01841153825525488,0.11927629020349813,0.19037123465477862,0.7054169758375805,0.025091871279592448,0.6531891569369256,0.7522636750655174,0.6783867008033928,0.029728120481117518,0.6200437624138492,0.7347737672511261,0.551490199273334,0.03378313852609665,0.4896476342716885,0.6161149256442036,16.32442168886474,9.399350727901987e-34,333.0,5.740758555401122e-21,1.3998076114549933,0.5244599242391463,0.03889195620829853,0.45244612834468223,0.5979097537330091,13.485048718820687,8.799178599680162e-27,624.0,1.9088430323317647e-18,1.1563333879277746,-0.027030275034187753,0.019087173241190646,-0.060652808719415696,0.010499817015607298,-1.4161486718135754,0.1590351410108765,4626.0,0.9445840234738623,-0.12143374678373564
2,136,0.16266130533837217,0.01863626819604958,0.12878185643191933,0.1985211811820647,0.6074353347211486,0.032272890782759064,0.5459158548893077,0.6705784835680262,0.5596669903889605,0.034842483508282236,0.492950132909609,0.6279798871182065,0.4447740293827765,0.042245799260188656,0.35928600685820755,0.5291675323672214,10.52824274062013,2.7113200790731693e-19,1201.0,5.94876779603878e-14,0.9027893670266209,0.3970056850505883,0.045057211198582796,0.3077674005908374,0.4886097103925157,8.811146417847437,5.387775166041839e-15,1733.0,2.1032213074131188e-10,0.7555495720721604,-0.04776834433218819,0.01191451675098438,-0.0718691190268791,-0.02565597056334807,-4.009255711377598,0.00010028528373615747,3361.0,0.0048427857279479646,-0.3437908409878904
3,136,0.1364019213302118,0.01800869876608272,0.10301401171511151,0.17339173484718032,0.6221775142680444,0.02970284941353389,0.566737363665564,0.6788368083345531,0.5445839529175598,0.03736975733745599,0.4731836176093462,0.6167182406930988,0.48577559293783257,0.0396160630277278,0.40986061487556247,0.5644093497478296,12.26208653287511,1.0737928920646823e-23,845.0,1.2061749876695813e-16,1.0514652456415463,0.408182031587348,0.04712788565844949,0.3156878806522171,0.5035282460778396,8.661157314494664,1.25756491293301e-14,1776.0,3.844723985628739e-10,0.7426881125662632,-0.07759356135048452,0.01926088951306922,-0.11797702581603668,-0.04153902860650415,-4.028555446405238,9.321560837824484e-05,3466.0,0.009619051549590137,-0.3454457796133231
4,136,0.11289466161723728,0.016366079419827113,0.08326796734919262,0.14628893882891097,0.6023756766069326,0.030369964764654818,0.5379264423194401,0.6610942158213657,0.5249668690129261,0.03826357359985263,0.44590328745121527,0.5999186251909107,0.4894810149896954,0.039351336291651294,0.4095799909340641,0.5635640910457722,12.438739344502077,3.8301471569527714e-24,755.0,2.2910955041274117e-17,1.066613099269282,0.41207220739568884,0.046533935444298714,0.31879825384145105,0.49816080826979464,8.855305347834609,4.194981779694093e-15,1623.0,4.3234334936223784e-11,0.7593361690792636,-0.0774088075940065,0.020174465379668195,-0.11749382935272358,-0.03869546763141681,-3.836969462993504,0.0001905217558005446,3551.0,0.01619033844439601,-0.3290174170691989
5,136,0.087966120568299,0.014244397034482976,0.06226455976896016,0.11641731210446916,0.5098165952251593,0.032455750701345626,0.447963893615178,0.569605317108697,0.5116633907229586,0.03708144219813533,0.4378992380655294,0.5829693199565759,0.4218504746568603,0.037931269252657884,0.3491359014999731,0.491406994175723,11.121443678748,8.474207798505786e-21,992.0,1.6766115002000121e-15,0.9536559278236901,0.42369727015465963,0.042789305606155216,0.3409015300854293,0.5048630253709412,9.901943117621219,1.0342272791143361e-17,1319.0,4.07977056967648e-13,0.8490846174168208,0.0018467954977992845,0.022811342575809974,-0.04142758183600672,0.04908634043089817,0.08095952667677252,0.9355940401861457,4626.0,0.9445840234738623,0.006942222139436844
6,136,0.11505270647691504,0.01855716283206299,0.08068752562623,0.15279717621794708,0.4368976523990566,0.03144366568364455,0.3760272584404031,0.5003691001315876,0.45817126585457435,0.03457149817761026,0.3916274827043807,0.5278805944577541,0.3218449459221415,0.036687190617115194,0.24845442778308224,0.39627593632349833,8.772678978913023,6.698423171855889e-15,1246.0,1.2491948326517218e-13,0.7522510163965063,0.3431185593776593,0.04147615802117211,0.25892063411707394,0.42339483557020485,8.27266978784557,1.1091522363455103e-13,1649.0,6.315603106059667e-11,0.709375581983347,0.021273613455517742,0.018192221937838104,-0.013660404005210744,0.05813738471516325,1.169379613342922,0.24431125235469872,4177.0,0.296108217289094,0.10027347459140257
7,136,0.10221235054901673,0.01709138053629393,0.06948492432909723,0.13770780031676982,0.45967487552583464,0.03037860319879786,0.40225589273333723,0.519814873330759,0.4613491945409163,0.03505083170849423,0.3976747760467684,0.5298288296683511,0.35746252497681796,0.03440842013463297,0.2926242552973286,0.4263786393686779,10.388809587250496,6.111266224071266e-19,956.0,8.882709612828558e-16,0.8908330727641957,0.35913684399189955,0.04045710352189331,0.28129698125964286,0.4357812768024048,8.876978644740426,3.709726808066573e-15,1494.0,6.297246873720819e-12,0.7611946389566242,0.0016743190150815726,0.019525850265627986,-0.035508340101837885,0.03937447158303352,0.08574884024533021,0.9317931193995792,4586.0,0.8757204883725018,0.007352902389842575
8,136,0.0802952289692409,0.014613871794625628,0.05352958105147988,0.1110335315048291,0.4400471506696494,0.030107579233702244,0.3786422526238644,0.4983534830064147,0.4638243311640816,0.03293559394818662,0.3978162334041972,0.5269431047966022,0.3597519217004085,0.0316204384178835,0.2978602057391704,0.4218457740193033,11.37719588027421,1.8977244197565136e-21,660.0,3.809121567230294e-18,0.9755864981781037,0.38352910219484077,0.035569273112523794,0.3150886050769903,0.4552127204482158,10.782596005871195,6.143221254003051e-20,788.0,4.23103290407975e-17,0.9245999795850883,0.02377718049443226,0.019476147268670526,-0.01579141373099823,0.0628726690086735,1.2208359367193946,0.2242761280708779,4092.0,0.21890300674561214,0.10468581791925281
9,136,0.07628729749992297,0.01466398528536425,0.050328327077293046,0.10730978528550633,0.46948362463075255,0.028319977710848605,0.41457953774002027,0.5254546701487472,0.473756440243402,0.03160214957309738,0.41240424884047816,0.5364570977954457,0.3931963271308296,0.02910972740042735,0.3379853924371945,0.4498557889272649,13.507386095448537,7.734144434138838e-27,378.0,1.4459519790515427e-20,1.1582488021715103,0.39746914274347905,0.03381053372387814,0.33145055037721904,0.4618010414926904,11.755778420698899,2.0709729721507033e-22,508.0,1.977326084673368e-19,1.008049683199349,0.00427281561264942,0.02394476252303311,-0.04229763320133823,0.05110678897560182,0.1784446852851133,0.8586412647239523,4572.0,0.8518120039241995,0.015301505526298602
