layer,n_pairs,mean_absent,sem_absent,ci95_low_absent,ci95_high_absent,mean_suppressed,sem_suppressed,ci95_low_suppressed,ci95_high_suppressed,mean_mentioned,sem_mentioned,ci95_low_mentioned,ci95_high_mentioned,mean_suppressed_indirect,sem_suppressed_indirect,ci95_low_suppressed_indirect,ci95_high_suppressed_indirect,mean_delta_suppressed_minus_absent,sem_delta_suppressed_minus_absent,ci95_low_delta_suppressed_minus_absent,ci95_high_delta_suppressed_minus_absent,paired_t_suppressed_vs_absent,paired_p_suppressed_vs_absent,wilcoxon_stat_suppressed_vs_absent,wilcoxon_p_suppressed_vs_absent,cohen_d_paired_suppressed_vs_absent,mean_delta_mentioned_minus_absent,sem_delta_mentioned_minus_absent,ci95_low_delta_mentioned_minus_absent,ci95_high_delta_mentioned_minus_absent,paired_t_mentioned_vs_absent,paired_p_mentioned_vs_absent,wilcoxon_stat_mentioned_vs_absent,wilcoxon_p_mentioned_vs_absent,cohen_d_paired_mentioned_vs_absent,mean_delta_suppressed_minus_mentioned,sem_delta_suppressed_minus_mentioned,ci95_low_delta_suppressed_minus_mentioned,ci95_high_delta_suppressed_minus_mentioned,paired_t_suppressed_vs_mentioned,paired_p_suppressed_vs_mentioned,wilcoxon_stat_suppressed_vs_mentioned,wilcoxon_p_suppressed_vs_mentioned,cohen_d_paired_suppressed_vs_mentioned,mean_delta_suppressed_indirect_minus_absent,sem_delta_suppressed_indirect_minus_absent,ci95_low_delta_suppressed_indirect_minus_absent,ci95_high_delta_suppressed_indirect_minus_absent,paired_t_suppressed_indirect_vs_absent,paired_p_suppressed_indirect_vs_absent,wilcoxon_stat_suppressed_indirect_vs_absent,wilcoxon_p_suppressed_indirect_vs_absent,cohen_d_paired_suppressed_indirect_vs_absent,mean_delta_suppressed_indirect_minus_mentioned,sem_delta_suppressed_indirect_minus_mentioned,ci95_low_delta_suppressed_indirect_minus_mentioned,ci95_high_delta_suppressed_indirect_minus_mentioned,paired_t_suppressed_indirect_vs_mentioned,paired_p_suppressed_indirect_vs_mentioned,wilcoxon_stat_suppressed_indirect_vs_mentioned,wilcoxon_p_suppressed_indirect_vs_mentioned,cohen_d_paired_suppressed_indirect_vs_mentioned
0,136,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,
1,136,0.30629775377780816,0.030725740835397485,0.2479408772700322,0.3640266494098228,0.579191875646316,0.0328626129776048,0.5136907126140295,0.6414261406241618,0.43109261198404997,0.03157682881690831,0.36919575189140436,0.4914667561073161,0.743344124296479,0.029466109150790547,0.6835730784949227,0.8006620490883672,0.2728941218685078,0.02520224226645232,0.22408474183548133,0.3218087391523713,10.82816834245609,4.707236272522542e-20,434.0,4.504781271880286e-20,0.9285077752080622,0.12479485820624181,0.02500218613520631,0.07691373260787539,0.17339337826468462,4.9913578569241395,1.8163040087565986e-06,2504.0,2.884711679682063e-06,0.4280054052012175,0.14809926366226603,0.016479536405345337,0.11567318003735415,0.18171880877184532,8.986858611764601,1.9870099886513164e-15,1511.0,8.153114647567589e-12,0.7706167683967002,0.4370463705186709,0.03074885553552604,0.3760806266999195,0.49568529034211184,14.213419098272597,1.335565820804128e-28,35.0,9.967444576356842e-24,1.2187906326956321,0.3122515123124291,0.02793407921467219,0.25973658299679453,0.3671738594443651,11.17815661338932,6.081579640812134e-21,431.0,4.2402968336506904e-20,0.9585190218488232
2,136,0.3453250458771435,0.02971389361049429,0.2856631631511707,0.40610516108726685,0.568420650072438,0.029031292727643473,0.509932272072876,0.6260095181343636,0.33236755384089267,0.02614840610823533,0.28192005674464105,0.38352458644738074,0.7469082219579866,0.026604002590746568,0.6901903082499513,0.7941095425741801,0.22309560419529448,0.0318220252203769,0.15995701005897178,0.28383693090771445,7.010729287350246,1.0300631070869688e-10,1814.0,6.505775616282685e-10,0.6011650767988581,-0.01295749203625089,0.03211479862151847,-0.0755237056824367,0.04846767763565004,-0.40347417989315193,0.6872377642664484,4436.0,0.6296478445951468,-0.03459762549660482,0.23605309623154536,0.016682416467025365,0.20486817422526205,0.2690356504544125,14.14981436880744,1.922071820899069e-28,172.0,1.949818146302553e-22,1.2133365721398088,0.40158317608084315,0.0408938021640887,0.3233062870921795,0.48138641786139763,9.820147671020363,1.660602031973266e-17,1204.0,6.252219695179875e-14,0.8420707157352478,0.414540668117094,0.027368288739492874,0.3609816404767982,0.4665271055569235,15.146751485375306,6.662838505088002e-31,351.0,8.316406721132405e-21,1.2988232246235296
3,136,0.3890833475246378,0.029709495425238694,0.3314072678162393,0.4487993453737826,0.6667732664093866,0.02892060843283654,0.6104531088166618,0.7219029609405627,0.3656893210821258,0.028406160026659064,0.3116189933448226,0.4228001084971982,0.7134820360314086,0.02698158755330121,0.6602146181225431,0.7657298370749629,0.2776899188847488,0.032968568520033076,0.20855956625414526,0.3372702004191955,8.422868548751605,4.796294213312642e-14,1435.0,2.542944330790636e-12,0.7222550194761185,-0.02339402644251201,0.02883242239507182,-0.08329445477649441,0.03167899776478638,-0.8113791523292414,0.4185762032492238,4105.0,0.2296689448388377,-0.06957518831929653,0.30108394532726074,0.02261662550730603,0.25663271891614076,0.34558580022550367,13.312505228952002,2.386311602329401e-26,382.0,1.568975163397936e-20,1.1415379057337596,0.3243986885067707,0.04063572992367438,0.23803248126785648,0.40022859464370064,7.983089983029344,5.511125878626367e-13,1603.0,3.223299839269492e-11,0.6845443185774336,0.34779271494928277,0.029754736969564502,0.28686863014261277,0.40618142556470904,11.688650291381594,3.0671246303097373e-22,821.0,7.774048834297975e-17,1.0022934935987584
4,136,0.3405383231314884,0.026622621844471304,0.2886469361606721,0.3922108004052092,0.49808675850384676,0.032321600060167,0.4366964151931647,0.5602171465164248,0.43540285588850086,0.031473743783513836,0.3761976729613616,0.4970517808958083,0.5835025986239465,0.030519083708384173,0.5252359991621942,0.6393405553159786,0.15754843537235838,0.030126861624382762,0.09621092476323502,0.2169781257622956,5.229500415166003,6.319672630182641e-07,2048.0,1.433206502409745e-08,0.448425961101566,0.09486453275701248,0.026803366071173958,0.043274067974883396,0.14656662054658715,3.539276839524862,0.000550895145311435,2655.0,1.3560213951153827e-05,0.303490485203082,0.0626839026153459,0.010682562955465899,0.04283752213956317,0.08420093131181541,5.867871116385297,3.2410288079477005e-08,1971.0,5.3266934001439635e-09,0.5031657971293361,0.24296427549245822,0.032843045564909974,0.1766686626783705,0.3040440860214291,7.3977388915492375,1.3253081543110388e-11,1548.0,1.4238245389651514e-11,0.6343508765772029,0.14809974273544574,0.020125807623053136,0.10750198886896835,0.1884595499600323,7.358698120805084,1.633155854640016e-11,1635.0,5.151814024943553e-11,0.6310031581044552
5,136,0.2915996520137925,0.026637816885067334,0.2415775000854147,0.34579575258227346,0.3940097399701777,0.02799991968100453,0.34087532216795746,0.4497689221373878,0.3787520390634227,0.030015796213482805,0.3193465256263509,0.43679321665323184,0.4636757501912316,0.030600338123495198,0.4042286477912307,0.521963844505959,0.10241008795638523,0.027309777999283517,0.05216914344235694,0.15384725467082028,3.7499421620736713,0.0002614951022932522,3018.0,0.0003675290013758752,0.32155488758093764,0.08715238704963027,0.025926728939725946,0.03735364996385612,0.1346275052737837,3.3614879552388106,0.001008608324180555,3354.0,0.004618346283056122,0.28824521414852056,0.015257700906754967,0.012884596638448624,-0.010208567426981853,0.04081537035897287,1.1841814947644398,0.2384219772217906,4014.0,0.1618490039581767,0.10154272545202132,0.17207609817743902,0.031802620389410195,0.11073632849338189,0.23586972208244592,5.41075219810308,2.774366035356968e-07,2644.0,1.2156731240771253e-05,0.4639681732656989,0.08492371112780873,0.02407843865647751,0.03846534273092347,0.1325901711303215,3.5269608772976992,0.0005748773004076948,3083.0,0.0006235150822747269,0.3024344001547685
6,136,0.36603560031841814,0.031035790409428003,0.3055931164085529,0.4298445343442476,0.35134544547701335,0.029482766016954386,0.2924953629542469,0.4113661475191034,0.39893715751653525,0.031733657031534176,0.3381262327496734,0.46240848365857795,0.3875940075579167,0.03041128174796067,0.3297034440441236,0.451456959714528,-0.014690154841404738,0.03389586560680336,-0.08060257299290143,0.05351541121867681,-0.4333907566135802,0.6654226173601157,4246.0,0.37082152457632434,-0.0371629507865352,0.0329015571981171,0.02850409603801835,-0.021470049868300603,0.08960726359111762,1.154274710351575,0.25042680903217096,4273.0,0.4029935261775913,0.09897823984553714,-0.04759171203952184,0.013735348351436043,-0.074296144738394,-0.020898655795475483,-3.464907537969074,0.0007114030332823483,3260.0,0.002391842544544024,-0.2971133702056549,0.021558407239498575,0.03224106592594882,-0.04309351102138079,0.08492140336591585,0.6686629805917044,0.504852244727809,4481.0,0.7006266052617789,0.057337377554325074,-0.011343149958618522,0.016797984488719164,-0.04379342755495701,0.021321397333065838,-0.6752685101141815,0.5006601476458152,4322.0,0.46548164709798434,-0.05790379703793603
7,136,0.39500092625914773,0.029345821296339166,0.3392440850021645,0.4519222774793598,0.2701579247452804,0.025576819870811594,0.2208578795247433,0.32240338476446173,0.43072215294975724,0.031036892893810078,0.36910686676193827,0.49269904879777293,0.29071234019501824,0.02578237633885175,0.24086818133178295,0.3421458481307886,-0.12484300151386739,0.025119821071216845,-0.17387982377191308,-0.07713833242447232,-4.969900110352171,1.994586445167019e-06,2421.0,1.1788920753809099e-06,-0.4261654186124979,0.03572122669060949,0.02181460854873035,-0.005773053279046757,0.07731827754534241,1.6374910698403768,0.10385679036578281,4498.0,0.7281798154462509,0.14041370083055887,-0.16056422820447686,0.015943819623598296,-0.19023207330026237,-0.13035260961308717,-10.07062498165918,3.888529992855154e-18,800.0,5.281706160296296e-17,-0.8635489679276765,-0.10428858606412955,0.025517678943848147,-0.1542603677538079,-0.055774725184475696,-4.0869150479405825,7.461868154199181e-05,3005.0,0.0003299135746797844,-0.3504500741597193,-0.14000981275473903,0.015831604812714114,-0.17050496463885143,-0.11093604551391055,-8.84369047933153,4.480517701957557e-15,786.0,4.077213480496198e-17,-0.7583402023218165
8,136,0.39276270090402543,0.028071256835002015,0.3375423530264001,0.44667545564442096,0.28024297485828203,0.023696416422302507,0.23431490227554921,0.32671653375699605,0.46695323010256956,0.02999710161920496,0.4066620524471374,0.5256222280656919,0.32008234165056354,0.02385266078881993,0.27198503662974316,0.36649919371297973,-0.11251972604574342,0.02370429375710921,-0.1606942344064399,-0.0685696577523661,-4.746807780847609,5.20078389064776e-06,2535.0,3.997258504143506e-06,-0.4070354091794086,0.07419052919854406,0.024283654814176502,0.023852998812966552,0.12430647675617436,3.0551632267162905,0.0027111891182415434,3485.0,0.010835495651031769,0.2619780853806329,-0.18671025524428747,0.0158671996424419,-0.21834276104787564,-0.15453652531152323,-11.767057795432986,1.9387349993573134e-22,561.0,5.61515048119915e-19,-1.009016881603443,-0.07268035925346196,0.024850167079365673,-0.1230860158539668,-0.025577553603271536,-2.924743283267986,0.00404492193513988,3837.0,0.07452859171858507,-0.2507946674927577,-0.14687088845200605,0.01599133697301213,-0.1781846421072111,-0.11557085834089653,-9.184403324116897,6.43957549935682e-16,1089.0,9.010927290583847e-15,-0.7875560877321014
9,136,0.38802935384400655,0.029296332853639126,0.3312882349387992,0.44847530615092873,0.3006883325896393,0.024241734809221458,0.2529822671446323,0.3525137113079161,0.5545054624563414,0.0302180048969304,0.4944577969869056,0.6173396772603374,0.32118586683607875,0.025085109472460156,0.27184470305058267,0.3735707027412214,-0.08734102125436723,0.017898545126928952,-0.12122594752840232,-0.051961846213905816,-4.879783280427624,2.9473619440039645e-06,2477.0,2.1635918875936352e-06,-0.41843796419770396,0.16647610861233472,0.02292953045708416,0.12344744151727487,0.21364525368766785,7.260336574441337,2.758824935429384e-11,1686.0,1.0771955619411811e-10,0.6225687250875493,-0.2538171298667019,0.01807816993065325,-0.28973997084567477,-0.22025325587554417,-14.03997920366546,3.606873335397207e-28,93.0,3.5478208124476875e-23,-1.2039182844294372,-0.0668434870079278,0.01989666066704002,-0.10509176430097227,-0.0273495516219149,-3.359532945076454,0.0010152118280410637,3670.0,0.03186439048697403,-0.28807757341012885,-0.2333195956202625,0.022016633801497522,-0.2784601638885625,-0.18986300000204803,-10.597423644498852,1.8109920188650234e-19,775.0,3.3247777221582856e-17,-0.9087215805936614
