concept,layer,split_seed,probe_accuracy,probe_auc,probe_f1,n_train,n_test,n_positive,n_negative
knife,0,13,0.7619047619047619,0.8518518518518519,0.7058823529411765,37,21,24,34
knife,0,42,0.5714285714285714,0.537037037037037,0.64,37,21,24,34
knife,0,101,0.8095238095238095,0.925925925925926,0.7777777777777778,37,21,24,34
knife,1,13,0.7142857142857143,0.8055555555555556,0.7,37,21,24,34
knife,1,42,0.5714285714285714,0.5277777777777778,0.64,37,21,24,34
knife,1,101,0.8095238095238095,0.9444444444444444,0.7777777777777778,37,21,24,34
knife,2,13,0.6190476190476191,0.7314814814814814,0.5555555555555556,37,21,24,34
knife,2,42,0.5714285714285714,0.5648148148148148,0.6086956521739131,37,21,24,34
knife,2,101,0.8095238095238095,0.9351851851851852,0.7777777777777778,37,21,24,34
knife,3,13,0.7619047619047619,0.8333333333333334,0.7058823529411765,37,21,24,34
knife,3,42,0.6666666666666666,0.6296296296296295,0.6956521739130435,37,21,24,34
knife,3,101,0.8571428571428571,0.9444444444444444,0.8235294117647058,37,21,24,34
knife,4,13,0.8571428571428571,0.9444444444444444,0.8235294117647058,37,21,24,34
knife,4,42,0.6666666666666666,0.7685185185185186,0.6956521739130435,37,21,24,34
knife,4,101,0.9047619047619048,0.962962962962963,0.9,37,21,24,34
knife,5,13,0.8571428571428571,0.962962962962963,0.8235294117647058,37,21,24,34
knife,5,42,0.7142857142857143,0.8055555555555556,0.7272727272727273,37,21,24,34
knife,5,101,0.9047619047619048,0.9722222222222223,0.9,37,21,24,34
knife,6,13,0.8571428571428571,0.962962962962963,0.8235294117647058,37,21,24,34
knife,6,42,0.6666666666666666,0.7962962962962963,0.6956521739130435,37,21,24,34
knife,6,101,0.9047619047619048,0.9814814814814815,0.8888888888888888,37,21,24,34
knife,7,13,0.8095238095238095,0.9537037037037037,0.7777777777777778,37,21,24,34
knife,7,42,0.6190476190476191,0.7314814814814815,0.6363636363636364,37,21,24,34
knife,7,101,0.8571428571428571,0.9444444444444445,0.8421052631578947,37,21,24,34
knife,8,13,0.8095238095238095,0.9444444444444444,0.7777777777777778,37,21,24,34
knife,8,42,0.6666666666666666,0.7407407407407407,0.6956521739130435,37,21,24,34
knife,8,101,0.8095238095238095,0.9444444444444444,0.7777777777777778,37,21,24,34
knife,9,13,0.8095238095238095,0.8981481481481481,0.7777777777777778,37,21,24,34
knife,9,42,0.6190476190476191,0.6944444444444444,0.6363636363636364,37,21,24,34
knife,9,101,0.8571428571428571,0.8981481481481481,0.8421052631578947,37,21,24,34
knife,10,13,0.8571428571428571,0.9259259259259259,0.8235294117647058,37,21,24,34
knife,10,42,0.5714285714285714,0.7314814814814815,0.5714285714285714,37,21,24,34
knife,10,101,0.8571428571428571,0.9166666666666667,0.8421052631578947,37,21,24,34
knife,11,13,0.8571428571428571,0.9537037037037037,0.8235294117647058,37,21,24,34
knife,11,42,0.6190476190476191,0.7314814814814814,0.6363636363636364,37,21,24,34
knife,11,101,0.8095238095238095,0.9166666666666667,0.8,37,21,24,34
knife,12,13,0.8095238095238095,0.9074074074074074,0.7777777777777778,37,21,24,34
knife,12,42,0.6190476190476191,0.7037037037037037,0.6363636363636364,37,21,24,34
knife,12,101,0.8095238095238095,0.8981481481481481,0.8,37,21,24,34
knife,13,13,0.8095238095238095,0.8796296296296297,0.7777777777777778,37,21,24,34
knife,13,42,0.6190476190476191,0.712962962962963,0.6363636363636364,37,21,24,34
knife,13,101,0.8571428571428571,0.9166666666666667,0.8421052631578947,37,21,24,34
knife,14,13,0.8095238095238095,0.925925925925926,0.7777777777777778,37,21,24,34
knife,14,42,0.6190476190476191,0.7037037037037037,0.6363636363636364,37,21,24,34
knife,14,101,0.8095238095238095,0.8981481481481483,0.8,37,21,24,34
knife,15,13,0.8571428571428571,0.9351851851851852,0.8235294117647058,37,21,24,34
knife,15,42,0.6190476190476191,0.7777777777777778,0.6363636363636364,37,21,24,34
knife,15,101,0.8095238095238095,0.9537037037037037,0.8,37,21,24,34
knife,16,13,0.9047619047619048,0.962962962962963,0.8888888888888888,37,21,24,34
knife,16,42,0.6190476190476191,0.7222222222222222,0.6363636363636364,37,21,24,34
knife,16,101,0.9047619047619048,0.9722222222222223,0.9,37,21,24,34
knife,17,13,0.8571428571428571,0.9722222222222223,0.8235294117647058,37,21,24,34
knife,17,42,0.6666666666666666,0.6759259259259259,0.6956521739130435,37,21,24,34
knife,17,101,0.9523809523809523,0.9907407407407407,0.9473684210526315,37,21,24,34
knife,18,13,0.9047619047619048,0.9722222222222223,0.8888888888888888,37,21,24,34
knife,18,42,0.6190476190476191,0.6666666666666666,0.6363636363636364,37,21,24,34
knife,18,101,0.9047619047619048,0.9814814814814814,0.9,37,21,24,34
knife,19,13,0.8571428571428571,0.9444444444444444,0.8235294117647058,37,21,24,34
knife,19,42,0.5714285714285714,0.6574074074074074,0.5714285714285714,37,21,24,34
knife,19,101,0.9047619047619048,0.9722222222222223,0.9,37,21,24,34
knife,20,13,0.8571428571428571,0.9537037037037037,0.8235294117647058,37,21,24,34
knife,20,42,0.5714285714285714,0.6388888888888888,0.5714285714285714,37,21,24,34
knife,20,101,0.9047619047619048,0.962962962962963,0.9,37,21,24,34
knife,21,13,0.8571428571428571,0.9537037037037037,0.8235294117647058,37,21,24,34
knife,21,42,0.5714285714285714,0.6481481481481481,0.5714285714285714,37,21,24,34
knife,21,101,0.9047619047619048,0.9722222222222223,0.9,37,21,24,34
knife,22,13,0.8571428571428571,0.962962962962963,0.8235294117647058,37,21,24,34
knife,22,42,0.6666666666666666,0.7962962962962963,0.6956521739130435,37,21,24,34
knife,22,101,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
knife,23,13,0.8571428571428571,0.962962962962963,0.8235294117647058,37,21,24,34
knife,23,42,0.6666666666666666,0.75,0.6956521739130435,37,21,24,34
knife,23,101,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
knife,24,13,0.8571428571428571,0.9722222222222223,0.8235294117647058,37,21,24,34
knife,24,42,0.6666666666666666,0.8240740740740741,0.6956521739130435,37,21,24,34
knife,24,101,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
knife,25,13,0.9047619047619048,0.9722222222222223,0.8888888888888888,37,21,24,34
knife,25,42,0.6666666666666666,0.8148148148148149,0.6956521739130435,37,21,24,34
knife,25,101,1.0,1.0,1.0,37,21,24,34
knife,26,13,0.8571428571428571,0.962962962962963,0.8235294117647058,37,21,24,34
knife,26,42,0.6666666666666666,0.8055555555555556,0.6956521739130435,37,21,24,34
knife,26,101,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
knife,27,13,0.8571428571428571,0.962962962962963,0.8235294117647058,37,21,24,34
knife,27,42,0.6666666666666666,0.8055555555555556,0.6956521739130435,37,21,24,34
knife,27,101,1.0,1.0,1.0,37,21,24,34
knife,28,13,0.9047619047619048,0.962962962962963,0.8888888888888888,37,21,24,34
knife,28,42,0.5714285714285714,0.7777777777777778,0.5714285714285714,37,21,24,34
knife,28,101,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
knife,29,13,0.8571428571428571,0.962962962962963,0.8235294117647058,37,21,24,34
knife,29,42,0.6190476190476191,0.7777777777777778,0.6363636363636364,37,21,24,34
knife,29,101,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
knife,30,13,0.8571428571428571,0.962962962962963,0.8235294117647058,37,21,24,34
knife,30,42,0.5714285714285714,0.7685185185185185,0.5714285714285714,37,21,24,34
knife,30,101,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
knife,31,13,0.8095238095238095,0.9537037037037037,0.7777777777777778,37,21,24,34
knife,31,42,0.5714285714285714,0.75,0.5714285714285714,37,21,24,34
knife,31,101,0.9047619047619048,1.0,0.9,37,21,24,34
knife,32,13,0.8095238095238095,0.9351851851851852,0.7777777777777778,37,21,24,34
knife,32,42,0.6666666666666666,0.7777777777777778,0.6666666666666666,37,21,24,34
knife,32,101,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
gun,0,13,0.5714285714285714,0.8240740740740741,0.64,37,21,24,34
gun,0,42,0.5714285714285714,0.7685185185185185,0.6086956521739131,37,21,24,34
gun,0,101,0.7142857142857143,0.787037037037037,0.7,37,21,24,34
gun,1,13,0.6666666666666666,0.9166666666666666,0.6956521739130435,37,21,24,34
gun,1,42,0.8095238095238095,0.9166666666666666,0.8181818181818182,37,21,24,34
gun,1,101,0.7142857142857143,0.7962962962962962,0.7272727272727273,37,21,24,34
gun,2,13,0.6190476190476191,0.8796296296296295,0.6666666666666666,37,21,24,34
gun,2,42,0.7142857142857143,0.8796296296296297,0.75,37,21,24,34
gun,2,101,0.7142857142857143,0.7314814814814815,0.7272727272727273,37,21,24,34
gun,3,13,0.7142857142857143,0.9259259259259258,0.75,37,21,24,34
gun,3,42,0.8095238095238095,0.9074074074074074,0.8181818181818182,37,21,24,34
gun,3,101,0.7142857142857143,0.7962962962962963,0.7272727272727273,37,21,24,34
gun,4,13,0.8095238095238095,1.0,0.8181818181818182,37,21,24,34
gun,4,42,0.8095238095238095,0.9537037037037037,0.8181818181818182,37,21,24,34
gun,4,101,0.7619047619047619,0.8888888888888888,0.7619047619047619,37,21,24,34
