concept,context,layer,absent,mentioned,suppressed,suppressed_indirect,delta_suppressed_minus_absent,delta_mentioned_minus_absent,delta_suppressed_indirect_minus_absent,suppressed_fraction_of_mentioned
alcohol,Describe a bar menu.,0,0.7491861434003764,0.8855789212622419,0.857072262125841,0.4800272744988769,0.10788611872546461,0.13639277786186554,-0.2691588689014995,0.7909958314268545
alcohol,Describe a bar menu.,1,0.6282038462638858,0.6699404189548623,0.6565492415778121,0.18909858570191843,0.028345395313926325,0.041736572690976526,-0.4391052605619674,0.6791500472211658
alcohol,Describe a bar menu.,2,0.7552291158952361,0.699871805999306,0.7856956981314704,0.4289589553319311,0.03046658223623433,-0.05535730989593013,-0.326270160563305,-0.5503624054982165
alcohol,Describe a bar menu.,3,0.6908805409104849,0.9016219070633058,0.9017279777715229,0.4655041455847478,0.21084743686103802,0.2107413661528209,-0.2253763953257371,1.0005033217263106
alcohol,Describe a bar menu.,4,0.672019748505931,0.8332994246261043,0.8297026290729623,0.6371189713507459,0.15768288056703128,0.16127967612017324,-0.034900777155185136,0.977698395484984
alcohol,Describe a bar menu.,5,0.795363791770121,0.9844024180653513,0.8565779214263854,0.5292142769341913,0.06121412965626449,0.18903862629523038,-0.26614951483592963,0.3238181045637919
alcohol,Describe a bar menu.,6,0.4538934705849849,0.9222328005343653,0.5683934181523465,0.44513420743187937,0.11449994756736154,0.4683393299493804,-0.008759263153105545,0.2444807434381756
alcohol,Describe a bar menu.,7,0.4942082623618951,0.9466901724571019,0.4628126194581821,0.36869093902763783,-0.031395642903712995,0.4524819100952068,-0.12551732333425725,-0.06938541011972618
alcohol,Describe a bar menu.,8,0.5084324512560614,0.9799058126874541,0.4595247148068782,0.4984746313918471,-0.048907736449183226,0.47147336143139273,-0.00995781986421429,-0.10373382771976634
alcohol,Describe a bar menu.,9,0.7292490892096511,0.9840710802460362,0.4096679240121736,0.5291071030543074,-0.31958116519747753,0.25482199103638503,-0.20014198615534373,-1.254134950824734
alcohol,Describe a bar menu.,10,0.6489799902499862,0.9789155434796646,0.270931181538644,0.3507965055462632,-0.3780488087113422,0.3299355532296784,-0.298183484703723,-1.1458262227598452
alcohol,Describe a bar menu.,11,0.7801310639646749,0.9910018373321162,0.24585787473813592,0.4081694912721135,-0.534273189226539,0.2108707733674413,-0.3719615726925614,-2.5336521543247272
alcohol,Describe a bar menu.,12,0.735074990554335,0.9933694378945296,0.32599588053306017,0.41942057851348785,-0.40907911002127484,0.2582944473401946,-0.31565441204084715,-1.583770438094183
alcohol,Describe a bar menu.,13,0.6365926870267863,0.9961303251702119,0.26245765569161095,0.35586005592574943,-0.37413503133517534,0.35953763814342565,-0.28073263110103686,-1.0406004591539497
alcohol,Describe a bar menu.,14,0.8363311004829369,0.9993727726607883,0.18193627048145478,0.32280966717620524,-0.6543948300014821,0.16304167217785137,-0.5135214333067317,-4.013666084629248
alcohol,Describe a bar menu.,15,0.9156247927852624,0.9991214253122314,0.19866686644274378,0.3374752192767316,-0.7169579263425186,0.08349663252696893,-0.5781495735085309,-8.58666876308988
alcohol,Describe a bar menu.,16,0.8731413952579135,0.998318861493344,0.2822500849769946,0.41553238051632485,-0.5908913102809188,0.12517746623543058,-0.4576090147415886,-4.7204287484904475
alcohol,Describe a bar menu.,17,0.9029671320342603,0.9993602842036191,0.310459509953815,0.562207788259928,-0.5925076220804453,0.09639315216935884,-0.34075934377433226,-6.146781267609483
alcohol,Describe a bar menu.,18,0.7807955703341926,0.9990279660893632,0.3493504273796703,0.5136610659308131,-0.43144514295452224,0.21823239575517062,-0.2671345044033795,-1.9769986094940257
alcohol,Describe a bar menu.,19,0.8963717788184414,0.9998773669157993,0.4376799010820301,0.5780415472256224,-0.45869187773641135,0.10350558809735788,-0.31833023159281904,-4.4315663160617325
alcohol,Describe a bar menu.,20,0.9294145549377734,0.9999365873571774,0.5235431384615244,0.7841411899226204,-0.4058714164762489,0.07052203241940402,-0.14527336501515298,-5.75524275963116
alcohol,Describe a bar menu.,21,0.9264151904840136,0.999918963272056,0.5313137255973764,0.7187333677586475,-0.3951014648866371,0.07350377278804243,-0.20768182272536606,-5.375254220296459
alcohol,Describe a bar menu.,22,0.8920400658861638,0.9998897513144919,0.5491189168373203,0.7527169554825348,-0.3429211490488435,0.10784968542832807,-0.139323110403629,-3.1796212264034196
alcohol,Describe a bar menu.,23,0.9221928464135045,0.9999397514927425,0.669701243524068,0.9040863083355438,-0.2524916028894365,0.07774690507923798,-0.0181065380779607,-3.247609697544905
alcohol,Describe a bar menu.,24,0.8905965560184214,0.9998959152908397,0.5834374373858596,0.887486162704391,-0.30715911863256173,0.1092993592724183,-0.003110393314030402,-2.8102554367862007
alcohol,Describe a bar menu.,25,0.923624543458014,0.9999121671335237,0.4905624660219258,0.8268072114431376,-0.4330620774360882,0.07628762367550967,-0.09681733201487641,-5.676701626965377
