layer,n_pairs,mean_absent,sem_absent,ci95_low_absent,ci95_high_absent,mean_suppressed,sem_suppressed,ci95_low_suppressed,ci95_high_suppressed,mean_mentioned,sem_mentioned,ci95_low_mentioned,ci95_high_mentioned,mean_suppressed_indirect,sem_suppressed_indirect,ci95_low_suppressed_indirect,ci95_high_suppressed_indirect,mean_delta_suppressed_minus_absent,sem_delta_suppressed_minus_absent,ci95_low_delta_suppressed_minus_absent,ci95_high_delta_suppressed_minus_absent,paired_t_suppressed_vs_absent,paired_p_suppressed_vs_absent,wilcoxon_stat_suppressed_vs_absent,wilcoxon_p_suppressed_vs_absent,cohen_d_paired_suppressed_vs_absent,mean_delta_mentioned_minus_absent,sem_delta_mentioned_minus_absent,ci95_low_delta_mentioned_minus_absent,ci95_high_delta_mentioned_minus_absent,paired_t_mentioned_vs_absent,paired_p_mentioned_vs_absent,wilcoxon_stat_mentioned_vs_absent,wilcoxon_p_mentioned_vs_absent,cohen_d_paired_mentioned_vs_absent,mean_delta_suppressed_minus_mentioned,sem_delta_suppressed_minus_mentioned,ci95_low_delta_suppressed_minus_mentioned,ci95_high_delta_suppressed_minus_mentioned,paired_t_suppressed_vs_mentioned,paired_p_suppressed_vs_mentioned,wilcoxon_stat_suppressed_vs_mentioned,wilcoxon_p_suppressed_vs_mentioned,cohen_d_paired_suppressed_vs_mentioned,mean_delta_suppressed_indirect_minus_absent,sem_delta_suppressed_indirect_minus_absent,ci95_low_delta_suppressed_indirect_minus_absent,ci95_high_delta_suppressed_indirect_minus_absent,paired_t_suppressed_indirect_vs_absent,paired_p_suppressed_indirect_vs_absent,wilcoxon_stat_suppressed_indirect_vs_absent,wilcoxon_p_suppressed_indirect_vs_absent,cohen_d_paired_suppressed_indirect_vs_absent,mean_delta_suppressed_indirect_minus_mentioned,sem_delta_suppressed_indirect_minus_mentioned,ci95_low_delta_suppressed_indirect_minus_mentioned,ci95_high_delta_suppressed_indirect_minus_mentioned,paired_t_suppressed_indirect_vs_mentioned,paired_p_suppressed_indirect_vs_mentioned,wilcoxon_stat_suppressed_indirect_vs_mentioned,wilcoxon_p_suppressed_indirect_vs_mentioned,cohen_d_paired_suppressed_indirect_vs_mentioned
0,136,0.21491791766065868,0.01881170288173045,0.17960398469649233,0.2549229837660214,0.6939863604322158,0.023139345074542284,0.6477800963157453,0.7375483853558662,0.6745457860149232,0.023160921293349224,0.6268938375769458,0.7189726412734669,0.6641946131788037,0.026628749787130708,0.6102045513535802,0.7133249276359911,0.4790684427715572,0.026086476229960076,0.43087844375118656,0.5301367955840053,18.364628420811837,1.57813584659547e-38,0.0,4.597822277805021e-24,1.574753895418568,0.45962786835426445,0.02752193445787709,0.40855317465263064,0.5129503371170135,16.700420134265446,1.1939125793386814e-34,149.0,1.1908261829041637e-22,1.4320492121559956,0.01944057441729276,0.007820026070392283,0.0039606349861734495,0.034481957099092506,2.4859986708864703,0.014139472706194792,3457.0,0.009086546306547197,0.21317262736159354,0.4492766955181449,0.031160335972629002,0.38585781721749784,0.5100056308843965,14.418223728806586,4.145604680617882e-29,503.0,1.79069676039514e-19,1.2363524848792387,-0.010351172836119511,0.026460662460112465,-0.06438002109899721,0.03874422178971339,-0.39119099348790515,0.6962727832768396,4390.0,0.5604706577589906,-0.03354435095183406
1,136,0.16019757272220772,0.017895273435407484,0.1268701058711402,0.19711129189856724,0.7923743352874995,0.021159333176654138,0.748946265220213,0.8327580675841106,0.7610648451467902,0.023402505622165466,0.7141430008518213,0.805594593591447,0.6801653470769304,0.029049832791215098,0.6249335425734618,0.7367650650799713,0.6321767625652917,0.02566399819209916,0.5810894131740604,0.6810669584208985,24.632824466139176,8.570454916361981e-52,0.0,4.597822277805021e-24,2.1122472720033216,0.6008672724245825,0.02849514735595343,0.5429355034853548,0.6542925087437963,21.086652576970955,1.5016781709271056e-44,28.0,8.542331974014629e-24,1.8081655411710784,0.03130949014070922,0.006417008093072722,0.018880164134451295,0.04368517458156195,4.879141445139891,2.9555225009411944e-06,2981.0,0.00026975612961255735,0.4183829272758336,0.5199677743547229,0.035421102753085305,0.45045722984629355,0.5861817995968452,14.67960435843381,9.364561414418477e-30,474.0,1.00530330756841e-19,1.2587656889616021,-0.0808994980698597,0.025734951197021846,-0.12836869220436112,-0.029809430830216872,-3.1435652413136,0.0020524730128317066,3325.0,0.00378545864918722,-0.26955849559422584
2,136,0.18054880964189501,0.019761962103716897,0.14510467551115983,0.21936658710583126,0.7623038710010211,0.025282193330502533,0.7097076241454144,0.8108246078405082,0.7474766678246205,0.02510296115365227,0.6964111930787145,0.7955988624468562,0.6356960392286704,0.029657876343426256,0.5765909045442754,0.69158920106246,0.5817550613591261,0.036121244634534984,0.504422234109272,0.6518963962969647,16.105620591016923,3.146127592717125e-33,420.0,3.395389303006582e-20,1.3810455721007295,0.5669278581827255,0.0363872440232266,0.4903395038566772,0.6377955946310074,15.580401137850558,5.841966242842947e-32,507.0,1.9385236212265753e-19,1.3360083755470524,0.014827203176400535,0.006755107325382257,0.0015603947772429095,0.027780202949126753,2.194961895081585,0.029875684216135744,2521.0,3.4516097185385e-06,0.18821642972410585,0.4551472295867752,0.04111297396701957,0.3724804968545533,0.5362792121552749,11.070647186746692,1.140599380096281e-20,901.0,3.3265650439564356e-16,0.9493001645694767,-0.11178062859595034,0.023896813461289537,-0.15837831221654475,-0.0669711137610836,-4.6776374087291535,6.960392964655811e-06,3128.0,0.0008891906633918198,-0.4011040987033605
3,136,0.14089378428493085,0.018306690427719065,0.10664302695640825,0.17798648278991558,0.7612702122710407,0.024858987124459907,0.7140449176022178,0.8100388319686844,0.7537462926716352,0.024577934978705054,0.7065681463962374,0.8008125007307743,0.6060635228139648,0.03170124584401629,0.5455031745140906,0.6652297643869679,0.6203764279861099,0.03117395218948507,0.5602124377281219,0.6823308159307312,19.90047409501584,5.631783573857098e-42,159.0,1.4760025083690658e-22,1.7064515754801826,0.6128525083867044,0.03014480415316011,0.555059159445908,0.6710500547422263,20.33028661499725,6.441873213708912e-43,173.0,1.9919592298495001e-22,1.7433076950068565,0.007523919599405626,0.005405258686204085,-0.0028491614732430864,0.017618558486860243,1.3919629080119749,0.16622259868015998,3408.0,0.00662323207631488,0.11935983464745294,0.4651697385290339,0.03996045074256453,0.38642951188368796,0.5410511465493454,11.640753041695566,4.0591906812815076e-22,843.0,1.162941517200823e-16,0.9981863383220728,-0.14768276985767043,0.026262535131500456,-0.19940522837105934,-0.09632379508594963,-5.623324980555024,1.0347853380937715e-07,2830.0,7.165166256977903e-05,-0.4821961389808563
4,136,0.12015411496598487,0.01806418822641828,0.0873432481401495,0.15730878038480692,0.6465216939411247,0.026746193197685418,0.5926415672965774,0.6973700084630481,0.6486367077840649,0.028164173116095852,0.5926614522122561,0.7036434246782483,0.5562388225222596,0.03001534551829589,0.4958959818735259,0.6145488291396,0.5263675789751397,0.02957135404200554,0.4691817893153526,0.5817148559504081,17.79991468187235,3.1474745104350372e-37,234.0,7.276304496938241e-22,1.5263300917992393,0.5284825928180801,0.030669810954710313,0.46647570595984944,0.5857157612421274,17.23136127570147,6.664070964890648e-36,257.0,1.180567367637131e-21,1.4775770394311092,-0.002115013842940215,0.0086815555479772,-0.019822950988842656,0.013882319149126543,-0.24362152971917714,0.8078937720522085,4164.0,0.28324696519476766,-0.020890373828546274,0.4360847075562748,0.035329654011107776,0.3651216189530639,0.49968834485875496,12.34330535530204,6.683792944239984e-24,593.0,1.0478221867878716e-18,1.0584297022081262,-0.09239788526180516,0.025092648066064625,-0.14129185208351047,-0.04627540032862863,-3.6822692056469055,0.00033331880486713787,3530.0,0.014277213351618091,-0.31575197944113714
5,136,0.10871603734315605,0.018196594869110662,0.0772549279981951,0.14485979769462293,0.5751252959036697,0.026265087152862326,0.5244179160504241,0.627140047067991,0.658979924593358,0.0281703825826094,0.6035836459236249,0.7121864420123036,0.5638954507626525,0.02968449731567319,0.5056229650740223,0.6195015257397308,0.46640925856051363,0.02808633237657708,0.4105318659560011,0.5186423088343307,16.606271417249232,1.998469583402667e-34,208.0,4.197823386661166e-22,1.423976026275364,0.5502638872502019,0.030019738497679898,0.4908678202251287,0.6044821046111951,18.330069307323566,1.893204591804075e-38,170.0,1.8681654958789531e-22,1.5717904758850592,-0.08385462868968828,0.012622552682118109,-0.10905400406483948,-0.058298272736450774,-6.643238558907498,6.905589205152449e-10,1543.0,1.320981011397254e-11,-0.5696530068083976,0.45517941341949636,0.03414489334221919,0.3896486304349686,0.5201798061575257,13.33081960038457,2.1463315696206424e-26,469.0,9.096963933551021e-20,1.1431083501279895,-0.09508447383070553,0.026758392152552168,-0.14828256226169564,-0.03954994683387681,-3.5534449636816663,0.000524472561613819,3273.0,0.0026257481774625154,-0.30470539182658973
6,136,0.09501605084741742,0.015651052408889924,0.06538634240293477,0.12694535598487455,0.49545863757977837,0.026487284670620493,0.4429881862297862,0.5475939376547722,0.6526747473900449,0.02537535414891731,0.602853796281051,0.7036283419405593,0.5254819731719738,0.02926260714744365,0.4689660783616977,0.5842466846898832,0.400442586732361,0.027289981415626705,0.3472707314852206,0.45294710104725466,14.673611558528243,9.688816353996505e-30,250.0,1.0191463499481854e-21,1.258251810609179,0.5576586965426275,0.02631264052152068,0.5063250211632259,0.6097724104145816,21.19356649464836,8.878779295578945e-45,37.0,1.0416229180766079e-23,1.8173333339779372,-0.15721610981026646,0.012447618292438211,-0.1835093240835026,-0.13307432646716563,-12.630216168001674,1.254642821743559e-24,124.0,6.948064791925296e-23,-1.0830321014281632,0.43046592232455644,0.033150416560417874,0.36161173858736356,0.49577831481290163,12.985234183709768,1.5913463164411782e-25,543.0,3.9450650342192906e-19,1.1134746451251827,-0.12719277421807107,0.027953313237928285,-0.18053009245117566,-0.0692205650932115,-4.550185988167239,1.1821550350663856e-05,2792.0,5.050531405954526e-05,-0.39017522955297496
7,136,0.10273779283756979,0.017648624398384674,0.0706141043594343,0.13994588400215852,0.40957741884670473,0.027033205496356592,0.35754046127190064,0.4615586879785651,0.6532150083179968,0.026169449004428705,0.6004809119522956,0.704393069360271,0.49608238141281524,0.02946517457961659,0.44044214581466057,0.5515067246500487,0.3068396260091349,0.027655128690685468,0.2543989106339198,0.36103383117242666,11.095215988363186,9.879281191163415e-21,614.0,1.5738238987683322e-18,0.9514069219274146,0.5504772154804269,0.027329587078354745,0.49747815959637137,0.6044218167411387,20.142170970318443,1.6591558704755554e-42,38.0,1.0648068358615538e-23,1.7271769115540636,-0.2436375894712921,0.014133250343933685,-0.2717378717591309,-0.21625131596645036,-17.238609912253267,6.40811562958497e-36,0.0,4.597822277805021e-24,-1.4781986048875317,0.3933445885752455,0.0343525556243007,0.32605688997172727,0.4592193529004149,11.45022783390814,1.2377352905861053e-21,724.0,1.2816783448056881e-17,0.9818489365373099,-0.1571326269051815,0.030235364146380405,-0.21846976388249656,-0.0992983770994171,-5.196981460003103,7.312544856476816e-07,2125.0,3.7525971858307044e-08,-0.445637483701191
8,136,0.09014752717594746,0.01590490566714761,0.06052066817510114,0.12263862562977941,0.3661081385862867,0.025214542026550768,0.31881123279047086,0.4151812459279767,0.6738651379309345,0.02561526043456677,0.6218653447902415,0.7227170847204193,0.49913637318821813,0.02796607259397805,0.4441691941796398,0.5540533626933527,0.2759606114103393,0.024461010867135816,0.22830062083967714,0.3250226466307633,11.28165196889314,3.319238258288642e-21,550.0,4.526386291694492e-19,0.9673936753676864,0.5837176107549871,0.02679553987756021,0.5306508908732224,0.6392993911633487,21.78413323344974,4.9992949473702e-46,20.0,7.159369495618206e-24,1.8679740140462682,-0.30775699934464784,0.01573995166883956,-0.3383947781575055,-0.2769929308439132,-19.55260129253863,3.312821886930804e-41,0.0,4.597822277805021e-24,-1.6766217287629819,0.40898884601227065,0.03135774526848859,0.3460277338061826,0.47117027759750807,13.042673907529428,1.1400952514973984e-25,488.0,1.3290748751843758e-19,1.1184000608082072,-0.17472876474271648,0.030876290754876173,-0.2359370224824351,-0.11453068264545704,-5.658994667781532,8.751020478615688e-08,1985.0,6.389883247370249e-09,-0.4852547894267673
9,136,0.10414260719904397,0.017453822432354875,0.07220271927864286,0.13939195198920903,0.2937032346484305,0.02363868404136365,0.24948744089916083,0.34086254382054126,0.6380562635008048,0.02675070489334726,0.5864646935245866,0.6895713869664941,0.43149051239533237,0.028021600356803438,0.3760188752677982,0.485832997471728,0.18956062744938654,0.02238567282353964,0.14717395103766479,0.23393517927212978,8.467944159804487,3.726266812566748e-14,988.0,1.5628150891620754e-15,0.7261202212361201,0.5339136563017607,0.027322716534092732,0.4789487537151441,0.5888285412815665,19.54101656164218,3.515116962294158e-41,31.0,9.12653818848476e-24,1.6756283462839832,-0.34435302885237423,0.018496493099992913,-0.38060073872083056,-0.3076492027177258,-18.617206353160327,4.1912256510559296e-39,0.0,4.597822277805021e-24,-1.5964122744365614,0.32734790519628837,0.03135031368081818,0.26712010844165246,0.38776681910462024,10.4416149876222,4.4927519745435965e-19,840.0,1.100941006654455e-16,0.8953610984900111,-0.2065657511054724,0.03316354089559345,-0.2722501302376492,-0.1388582046960219,-6.228700118476174,5.570623803810741e-09,1846.0,1.0079098573965345e-09,-0.5341066287978204
