layer,n_pairs,mean_absent,sem_absent,ci95_low_absent,ci95_high_absent,mean_suppressed,sem_suppressed,ci95_low_suppressed,ci95_high_suppressed,mean_mentioned,sem_mentioned,ci95_low_mentioned,ci95_high_mentioned,mean_suppressed_indirect,sem_suppressed_indirect,ci95_low_suppressed_indirect,ci95_high_suppressed_indirect,mean_delta_suppressed_minus_absent,sem_delta_suppressed_minus_absent,ci95_low_delta_suppressed_minus_absent,ci95_high_delta_suppressed_minus_absent,paired_t_suppressed_vs_absent,paired_p_suppressed_vs_absent,wilcoxon_stat_suppressed_vs_absent,wilcoxon_p_suppressed_vs_absent,cohen_d_paired_suppressed_vs_absent,mean_delta_mentioned_minus_absent,sem_delta_mentioned_minus_absent,ci95_low_delta_mentioned_minus_absent,ci95_high_delta_mentioned_minus_absent,paired_t_mentioned_vs_absent,paired_p_mentioned_vs_absent,wilcoxon_stat_mentioned_vs_absent,wilcoxon_p_mentioned_vs_absent,cohen_d_paired_mentioned_vs_absent,mean_delta_suppressed_minus_mentioned,sem_delta_suppressed_minus_mentioned,ci95_low_delta_suppressed_minus_mentioned,ci95_high_delta_suppressed_minus_mentioned,paired_t_suppressed_vs_mentioned,paired_p_suppressed_vs_mentioned,wilcoxon_stat_suppressed_vs_mentioned,wilcoxon_p_suppressed_vs_mentioned,cohen_d_paired_suppressed_vs_mentioned,mean_delta_suppressed_indirect_minus_absent,sem_delta_suppressed_indirect_minus_absent,ci95_low_delta_suppressed_indirect_minus_absent,ci95_high_delta_suppressed_indirect_minus_absent,paired_t_suppressed_indirect_vs_absent,paired_p_suppressed_indirect_vs_absent,wilcoxon_stat_suppressed_indirect_vs_absent,wilcoxon_p_suppressed_indirect_vs_absent,cohen_d_paired_suppressed_indirect_vs_absent,mean_delta_suppressed_indirect_minus_mentioned,sem_delta_suppressed_indirect_minus_mentioned,ci95_low_delta_suppressed_indirect_minus_mentioned,ci95_high_delta_suppressed_indirect_minus_mentioned,paired_t_suppressed_indirect_vs_mentioned,paired_p_suppressed_indirect_vs_mentioned,wilcoxon_stat_suppressed_indirect_vs_mentioned,wilcoxon_p_suppressed_indirect_vs_mentioned,cohen_d_paired_suppressed_indirect_vs_mentioned
0,136,0.2188630146482929,0.01086778264950465,0.19878506391594863,0.2408000307157494,0.802178364325187,0.022408467005342467,0.7574148076816112,0.8446722305104364,0.802178364325187,0.022408467005342467,0.7574148076816112,0.8446722305104364,0.360072168548332,0.02072364260051037,0.3183816022156047,0.3987758035345247,0.5833153496768941,0.025573592068120755,0.5320706012926313,0.634220268966595,22.809284989105496,3.755763152811483e-48,0.0,4.0243031234699045e-21,1.9558800518719288,0.5833153496768941,0.025573592068120755,0.5320706012926313,0.634220268966595,22.809284989105496,3.755763152811483e-48,0.0,4.0243031234699045e-21,1.9558800518719288,0.0,0.0,0.0,0.0,,,0.0,,,0.14120915390003913,0.02254726720492406,0.09773323969217645,0.18607308039441653,6.262805714618964,4.703260922638702e-09,28.0,1.2857857822915238e-08,0.5370311595397855,-0.442106195776855,0.03129216178471704,-0.5034546823965936,-0.3816343340352067,-14.128336636453724,2.1736539054913868e-28,229.0,7.725957248937987e-19,-1.2114948717844432
1,136,0.08983683333282688,0.012654141919672904,0.06624423371872525,0.11497871610607516,0.7775369053636356,0.028613520041862853,0.7203624505534648,0.8309392344379505,0.8092374399207249,0.02587148077546789,0.7565322860043789,0.8561684156384413,0.5518808190619153,0.03269795785329367,0.48883225233342625,0.6151371146017955,0.6877000720308087,0.03203816930045922,0.6212605126915727,0.7475759755865391,21.46502397129638,2.3533451877417484e-45,94.0,5.375095811826926e-23,1.8406106205636823,0.7194006065878981,0.02906073516921519,0.6588678216402799,0.7736671238762581,24.755072519637363,4.954306125029011e-52,32.0,1.3695631284997975e-23,2.1227299561090045,-0.03170053455708932,0.00750148675322408,-0.04706394862833887,-0.017660514400296572,-4.22590022484072,4.3538944664678576e-05,4101.0,0.28283463565647005,-0.3623679547567967,0.46204398572908856,0.037319034647684414,0.39097141703760535,0.533885149514937,12.380920087860783,5.3665972807528716e-24,836.0,2.67833047524691e-16,1.0616551389152953,-0.25735662085880956,0.03715858670537595,-0.32719094001340826,-0.1828328221913353,-6.925899063367129,1.604593568148525e-10,1816.0,6.687161423217569e-10,-0.5938909451036448
2,136,0.09966715608228413,0.013790296179362692,0.07599554472177872,0.1272765819243313,0.8715505112729709,0.023708645430917302,0.8214522944979762,0.9160033779456144,0.8669418652568425,0.022356005886962946,0.8187673230893241,0.9087879601869346,0.5047244688243513,0.03263279095673987,0.4402778261699121,0.5659127058551142,0.7718833551906866,0.026391172762089587,0.7199399894530606,0.8196065474427561,29.247785316288873,2.796573274908794e-60,0.0,6.714004954037857e-24,2.507976900147693,0.7672747091745584,0.025169974715026838,0.7184187213697398,0.8131144601745256,30.48372983531383,2.1718652758508027e-62,0.0,6.714004954037857e-24,2.613958268311403,0.004608646016128266,0.0051778161404641004,-0.005322989245589321,0.014859762981655008,0.8900752539496665,0.37500890103700196,3706.0,0.052197926429281304,0.07632332336136353,0.4050573127420672,0.038499462939416036,0.3290130403355373,0.480852595159308,10.521115927759256,2.826381730616539e-19,1134.0,5.2642194446135955e-14,0.9021782478655131,-0.3622173964324912,0.04030654609857595,-0.44198322866146994,-0.2852679671608033,-8.986564999805042,1.99033235114273e-15,1407.0,1.644341846702679e-12,-0.7705915913788774
3,136,0.09190614966118191,0.012308940552912356,0.06911349581604201,0.11796482332002348,0.8732285026042184,0.02347290354989759,0.8259407892680306,0.918538424330283,0.8708731419227166,0.021862474980081915,0.8278394400330289,0.9120806935178102,0.487216852886399,0.03279122274344131,0.422929815348962,0.5531973759688734,0.7813223529430364,0.027181771089333014,0.7273314747201611,0.8342244251446721,28.744350409515885,2.112353746448192e-59,0.0,6.714004954037857e-24,2.464807713036234,0.7789669922615348,0.02519190689316212,0.729444449289217,0.8273062325730054,30.921319119076735,4.028306737199254e-63,0.0,6.714004954037857e-24,2.6514812398308334,0.002355360681501762,0.00882908417531147,-0.014838543715345077,0.018167013219597013,0.2667729330396457,0.790051060483751,2559.0,8.17254958866174e-06,0.022875590285308244,0.3953107032252171,0.03705866738171037,0.3189064005301669,0.46560156183203427,10.66715916018922,1.2054811966675222e-19,1068.0,1.696431400273296e-14,0.9147013517312018,-0.3836562890363176,0.040841462512870255,-0.4643821290309311,-0.30317037689467463,-9.393794086473203,1.9398590731879396e-16,1270.0,1.8484300276145005e-13,-0.8055111974751102
4,136,0.07276635217998663,0.011499629128852395,0.05221857124559429,0.09656045439926243,0.8830092972991909,0.023237330898087223,0.8371186645154887,0.9270289516275634,0.8725462762978013,0.023660605824680304,0.8253941996198079,0.9179991604123906,0.4520694560302041,0.03389480702941785,0.3880037718325437,0.5183976184366017,0.8102429451192042,0.026092979614227862,0.7577883949814164,0.8605900298059367,31.052143415518504,2.44276182531263e-63,2.0,7.020918641663164e-24,2.6626993307018476,0.799779924117815,0.026119487952863816,0.7469608351901793,0.8487579213970367,30.62004605760752,1.2824834785749478e-62,0.0,6.714004954037857e-24,2.625647287939073,0.010463021001389364,0.004085971579728245,0.002514353788647898,0.018762987424678846,2.560718007266524,0.011545087625028531,4456.0,0.7685291007184536,0.21957975759757675,0.3793031038502174,0.03621136505699352,0.30927982876745924,0.45114840098893705,10.474697743463345,3.7048355959292937e-19,919.0,1.2175327922184155e-15,0.8981979213996967,-0.4204768202675974,0.046677239528315685,-0.5126654005100654,-0.32815438190084173,-9.008176672755567,1.7599731745307342e-15,1364.0,8.358738376623502e-13,-0.7724447770456663
5,136,0.08149350109426168,0.013957389508320808,0.05743516792521929,0.11077457056152283,0.8540667097235881,0.026184411239859182,0.7994432810135035,0.900773324076527,0.842320127342464,0.026782500389558088,0.7886224316820393,0.8916232726303921,0.49174829484814,0.03207839300033094,0.4292988920322298,0.5560126984095174,0.7725732086293265,0.02993792023496078,0.7162102483150529,0.8281246295527074,25.80584097245119,4.785079984479117e-54,88.0,4.7127006545340034e-23,2.212832607593982,0.7608266262482023,0.030244465136199775,0.703763940173058,0.8162878912304319,25.155896221737592,8.314520395394633e-53,68.0,3.036285372802519e-23,2.1571003050098905,0.011746582381124124,0.004671611124704114,0.0030983925335039773,0.021869585907563802,2.5144606576961426,0.01309543969464034,3853.0,0.10552325392828628,0.21561322259569535,0.4102547937538784,0.03293378466311313,0.3462236216147416,0.4748826096846714,12.456958650530579,3.4440428479888706e-24,144.0,2.3872771010215216e-22,1.0681753918723653,-0.35057183249432394,0.04586248364345887,-0.4347078617860504,-0.26170245132657177,-7.643978359735522,3.5154302095019006e-12,1777.0,3.898644575494039e-10,-0.6554657367772987
6,136,0.1021986674291592,0.01655701871102123,0.07102830727558923,0.1392097082708164,0.8803919442779865,0.021811390383391686,0.8348093094728111,0.9218229707845568,0.8777927752315879,0.022060384974346592,0.8337313255417503,0.9208495254180136,0.5324593866166356,0.033059770089732425,0.4657024618634426,0.5957091257927963,0.7781932768488273,0.029489570016319674,0.7206551728168695,0.8338180832135105,26.388763092109222,3.84907923493972e-55,51.0,2.086420714216801e-23,2.262817766978794,0.7755941078024288,0.029714874882874914,0.717617649772188,0.8319294568545177,26.101207252580902,1.3281194497424633e-54,30.0,1.3100693509631964e-23,2.2381600571645075,0.002599169046398604,0.0049575985477461944,-0.007008400290048693,0.012290120404673324,0.5242798547252739,0.6009436636094619,2607.0,1.3295005746782074e-05,0.04495662665205228,0.4302607191874764,0.03202373802320945,0.36271042253374713,0.49443313798557453,13.43568070896788,1.1703779752073263e-26,113.0,1.2109872843098317e-22,1.1521001160072455,-0.34533338861495233,0.043738464892748886,-0.4323792503009859,-0.2616544419672381,-7.895416299171555,8.921694710650287e-13,1683.0,1.0318006941770216e-10,-0.6770263622095124
7,136,0.13167474381426733,0.019917225541895164,0.09470488200962027,0.17333252991868206,0.8413191724229421,0.02452405878732097,0.7911674108465443,0.8868710114592675,0.8813950063222189,0.020688741037862578,0.8380500248818941,0.9219927249816908,0.5257168764948166,0.03351822973248625,0.46076085877157663,0.5918092997152062,0.7096444286086748,0.03328458751454323,0.6400068021453323,0.7730061841978971,21.32051143186334,4.766283157088472e-45,161.0,2.3073449841965243e-22,1.828218772539624,0.7497202625079514,0.029614779774405953,0.6872423701880411,0.8060747430503756,25.315746671730576,4.101506123422822e-53,14.0,9.176843215957387e-24,2.1708073680139854,-0.04007583389927676,0.009057046058313941,-0.05842936399393035,-0.02410666109442753,-4.424823904090566,1.9717865976212276e-05,1545.0,2.268209411308494e-11,-0.3794255195281421,0.3940421326805492,0.034547816455097184,0.32776502022181014,0.4593906257313111,11.405702968021075,1.6061457561929122e-21,639.0,6.4377967601022246e-18,0.9780309607856639,-0.35567812982740227,0.03898883892394837,-0.4354804523446262,-0.2812305009849338,-9.12256275497683,9.168375159839998e-16,1256.0,1.4712165129075085e-13,-0.7822533026761369
8,136,0.15676680681080968,0.021940405683994208,0.11794683346358494,0.19940647261617966,0.8162564705357507,0.02518376669455988,0.7661563807888994,0.8656143556691417,0.883209069588222,0.02035875988853978,0.8433390437042491,0.9224657180224369,0.47329754422391657,0.033209416722732636,0.4083703142960148,0.5367842973238014,0.659489663724941,0.033247091750448744,0.5920940352743348,0.7231540030723824,19.83601058026495,7.811745057395762e-42,215.0,7.350132461130308e-22,1.7009238746936375,0.7264422627774124,0.03053589954250191,0.6627920065385947,0.7851809198022166,23.78977772592883,3.9371048820428205e-50,43.0,1.7478993309873074e-23,2.039956610425783,-0.06695259905247139,0.0123523217718471,-0.09289458743051851,-0.042878037601969725,-5.420244087639214,2.6560896154879434e-07,1892.0,3.113077432118871e-09,-0.46478209607858695,0.31653073741310694,0.03481972249776631,0.24714938729410288,0.38493513571750826,9.090558876033903,1.1005537880225462e-15,986.0,4.033835988399812e-15,0.7795089926972448,-0.40991152536430553,0.03974860846384582,-0.4861840852418194,-0.3327389056791455,-10.312600647067912,9.524821642266892e-19,1102.0,1.1251397977881997e-14,-0.884298210055934
9,136,0.14576543260262892,0.02003643730796471,0.11066508457773352,0.18827892025459475,0.8042163950829702,0.026116433602688477,0.7534912100874376,0.8538943996044728,0.8923007573909606,0.019246551849837198,0.8525530681711732,0.9270286080480299,0.4699887460455562,0.033638989964956574,0.40809999060690755,0.5355020757326517,0.6584509624803414,0.03109303962167175,0.5985908127128584,0.7196211543298207,21.176796173424073,9.640748638346018e-45,98.0,5.867083759538838e-23,1.8158952907967618,0.7465353247883317,0.028468784443839955,0.6912093552248435,0.8029641291279591,26.222943457983373,7.853094395886258e-55,14.0,9.176843215957387e-24,2.248598850658078,-0.08808436230799033,0.013966165878156094,-0.11658505426493132,-0.06051458691417184,-6.306982394198787,3.774752658747027e-09,1602.0,5.293496295062727e-11,-0.5408192785619025,0.32422331344292726,0.034996470029044296,0.2589635857349158,0.3962105526074185,9.264457620264205,4.072975628601322e-16,1027.0,8.306160240274025e-15,0.7944206869940227,-0.42231201134540436,0.03912936618973452,-0.499230356765567,-0.34457327307074637,-10.792712800346782,5.790676690584434e-20,1021.0,2.7846542153623246e-15,-0.9254674875544587
